model,accuracy,f1,precision,recall,roc_auc,avg_precision
XGBoost,0.6343692870201096,0.504950495049505,0.49466537342386036,0.5156723963599595,0.6956191647642973,0.5122873989346937
LightGBM,0.6340036563071298,0.5333333333333333,0.49480968858131485,0.5783619817997978,0.6938239303588036,0.5094346628237284
LogisticRegression,0.6449725776965265,0.5670976370931787,0.507177033492823,0.6430738119312437,0.6924653432893559,0.4907612309026257
CatBoost,0.6343692870201096,0.5322731524789522,0.49521322889469105,0.5753286147623863,0.6898165038794437,0.5007592624068496
Dummy,0.6383912248628885,0.0,0.0,0.0,0.5,0.36160877513711154
