model,moran_I,expected_I,z_score,p_value
Lasso,0.7751245977742313,-0.00023557126030624264,148.0301754363655,0.001
Ridge,0.7708829029165586,-0.00023557126030624264,148.68857617225947,0.001
OLS,0.7706850829721881,-0.00023557126030624264,146.6666908083547,0.001
