grid_size_m,weights,moran_I,p_value,z_score,n_cells,n_active_cells,mean_neighbors,islands
250,Queen,0.26745609166118556,0.002,51.84733211596409,10119,1105,7.743650558355569,0
500,Queen,0.3333806465706502,0.002,33.905625779958456,2633,507,7.522977592100266,0
250,DistanceBand 500m,0.21994599554240843,0.002,56.07375667621475,10119,1105,11.737325822709755,0
