grid_size_m,weights,model,r2,aic,spatial_param,residual_moran_I,residual_moran_p,n_cells,n_active_cells,mean_neighbors,islands
250,Queen,OLS,0.1425693861698445,-11852.394588839226,,0.1679375994778191,0.002,10119,1105,7.743650558355569,0
250,Queen,SLM,0.2688949358897972,,0.688382731408023,-0.06501587487221634,0.002,10119,1105,7.743650558355569,0
250,Queen,SEM,0.1359313424204549,,0.4623433105629776,0.18489770035183825,0.002,10119,1105,7.743650558355569,0
500,Queen,OLS,0.27513574729462675,-140.6894071310462,,0.14410761113431786,0.002,2633,507,7.522977592100266,0
500,Queen,SLM,0.3641575809368176,,0.7044057758116781,-0.1202247910181785,0.002,2633,507,7.522977592100266,0
500,Queen,SEM,0.26885300794352873,,0.36399176408620504,0.16760839422029986,0.002,2633,507,7.522977592100266,0
250,DistanceBand 500m,OLS,0.1425693861698445,-11852.394588839226,,0.12124331857659457,0.002,10119,1105,11.737325822709755,0
250,DistanceBand 500m,SLM,0.23520856595375494,,0.7098524144267051,-0.04796190490159255,0.002,10119,1105,11.737325822709755,0
250,DistanceBand 500m,SEM,0.1364611846393171,,0.46900446221516756,0.13733883829285506,0.002,10119,1105,11.737325822709755,0
