path,count_cols,concentration_cols,name_cols,coord_cols,n_cols
data\clustering_result_all.csv,주변건물수,집중도,숙소명,위도|x_5181|경도|y_5181,23
data\data_with_fire_targets.csv,반경_50m_건물수,집중도(%),업소명,위도|경도,47
data\gwr_results.csv,coef_주변건물수|tval_주변건물수,coef_집중도|tval_집중도,,위도|경도,16
data\gwr_results_v2_gaussian.csv,coef_주변건물수|tval_주변건물수,coef_집중도|tval_집중도,,위도|경도,15
data\knn_ols_table.csv,주변건물수,집중도,,위도|경도,13
data\lisa_result.csv,반경_50m_건물수,집중도(%),업소명,위도|경도,50
data\ols_residuals.csv,주변건물수,집중도,,위도|경도,20
data\건물상가밀집도_10개구_0417\서울10개구_건물상가_격자별_시각화.csv,전체건물수|건축면적입력건물수|건축면적누락건물수|건축면적역추산건물수|건축면적산정불가건물수|연면적입력건물수|층수입력건물수|전체건물수_per_ha|면적계산가능건물수|면적보정건물수|표제부보정건물수,,,,51
data\건물상가밀집도_10개구_0417\서울10개구_건물있지만_밀도0_표제부보정후보_건물목록.csv,격자_전체건물수,,,,55
data\건물상가밀집도_10개구_0417\서울10개구_건물있지만_밀도0_표제부보정후보_격자요약.csv,전체건물수|면적계산가능건물수|표제부매칭_보정가능건물수|표제부매칭_중복매칭건물수_제외,,,,25
data\건물상가밀집도_10개구_0417\서울10개구_건축면적_이상치_격자요약.csv,이상건물수|건축면적_연면적초과_건물수|건축면적x총층수_연면적초과_건물수,,,,25
data\분석변수_최종테이블.csv,주변건물수,집중도,숙소명,위도|경도,11
data\분석변수_최종테이블0423.csv,주변건물수,집중도,숙소명,위도|경도,12
data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,집중도(%),업소명,위도|경도,49
data\최종_상가숙박_개수밀도_구현자료_0417\01_입력테이블\보정테이블\서울10개구_건물있지만_밀도0_표제부보정후보_건물목록.csv,격자_전체건물수,,,,55
data\최종_상가숙박_개수밀도_구현자료_0417\01_입력테이블\상가숙소_격자자료\서울10개구_상가숙소_격자별_밀집도.csv,전체건물수,,,,33
data\최종_상가숙박_개수밀도_구현자료_0417\02_최종산출테이블\서울10개구_건물상가_격자별_시각화.csv,전체건물수|건축면적입력건물수|건축면적누락건물수|건축면적역추산건물수|건축면적산정불가건물수|연면적입력건물수|층수입력건물수|전체건물수_per_ha|면적계산가능건물수|면적보정건물수|표제부보정건물수,,,,51
data\통합숙박시설_최종안0421.csv,반경_50m_건물수,집중도(%),업소명,위도|X좌표|경도|Y좌표,67
data\핵심분析변수_테이블.csv,반경_50m_건물수,집중도(%),,위도|경도,11
data\핵심분석변수_테이블.csv,반경_50m_건물수,집중도(%),,위도|경도,11
data\핵심서울0424.csv,반경_50m_건물수,집중도(%),업소명,위도|경도,45
