최종위험순위,AHP위험순위,사각지대_위험순위,기대피해액순위,구,동,숙소명,업종,업종별_군집명,위험점수_AHP,사각지대_위험도점수,주변건물수_검증상태,주변건물수_보정출처,기대피해액_백만원,예상_화재발생확률,조건부_예상피해액_백만원,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도
23,23,1858,4027,서초구,신원동,오라카이 청계산 호텔,관광숙박업,관광숙박업 군집 1,87.86,49.84135135135134,보정,data\서울10구_숙소_소방거리_유클리드.csv,0.0029167107930637,0.0113644047463502,0.2566531954962719,0.9593,2,100.0,0.0,0.1094,1.0,37.44654849,127.05395016
24,24,3838,2080,송파구,방이동,All-stay,외국인관광도시민박업,외국인관광도시민박업 군집 0,87.73,38.89194734111254,원본유지,,0.0652884848162742,0.3350193476247979,0.1948797443465669,0.8234,13,100.0,0.8335483048041012,0.1322,0.35,37.5097433,127.11838771
25,25,195,4246,용산구,한강로3가,모모하우스,외국인관광도시민박업,외국인관광도시민박업 군집 1,87.38,62.953018018018,보정,data\서울10구_숙소_소방거리_유클리드.csv,,,,0.6316,2,100.0,0.0,0.8961,1.0,37.51980161,126.96245924
26,26,3747,45,강남구,신사동,라까사호텔,관광숙박업,관광숙박업 군집 1,87.28,39.864943083943935,원본유지,,0.1423025521195322,0.7186639603442261,0.1980098627060303,0.7251,2,100.0,1.848948441212516,0.1594,0.0,37.51923895,127.01875978
26,26,3747,45,강남구,신사동,주)라까사호텔,숙박업,숙박업 군집 2,87.28,39.864943083943935,원본유지,,0.1423025521195322,0.7186639603442261,0.1980098627060303,0.7251,2,100.0,1.848948441212516,0.1594,0.0,37.51923895,127.01875978
28,28,1938,3766,영등포구,양평동,Y. ROAD 135,숙박업,숙박업 군집 2,87.03,49.473480881122924,보정,data\서울10구_숙소_소방거리_유클리드.csv,0.0229653460910768,0.1061971340421377,0.2162520325827668,0.6474,5,100.0,0.6911767365726466,0.1851,0.85,37.52033345,126.88812648
29,29,1574,3948,마포구,연남동,Yeonnam Happy House,외국인관광도시민박업,외국인관광도시민박업 군집 1,86.84,51.080718658799604,원본유지,,0.0147584199080548,0.1084449986314215,0.1360912913855541,0.6704,33,93.9,1.7646185066822502,0.4553,1.0,37.56165586,126.92447946
30,30,1277,4022,마포구,망원동,더 피크닉 스테이,외국인관광도시민박업,외국인관광도시민박업 군집 1,86.4,52.75247747747747,보정,data\서울10구_숙소_소방거리_유클리드.csv,0.0055924866912108,0.028818988896865,0.1940556176771061,0.7341,9,100.0,0.0,0.4165,1.0,37.55345249,126.89683842
31,31,2774,290,송파구,방이동,스테이(STAY)509,숙박업,숙박업 군집 2,86.21,45.49901199426776,원본유지,,0.1093825761854202,0.5040717839090305,0.2169980143248018,0.7876,9,55.6,0.5426662296216493,0.1536,0.12,37.51263276,127.1135319
32,32,3004,3893,강남구,논현동,힐탑관광호텔,숙박업,숙박업 군집 2,86.17,44.35798952837275,원본유지,,0.017512585072936,0.1020996028133502,0.1715245171418643,0.7067,19,100.0,0.5921558690127829,0.1565,0.85,37.50877928,127.03063306
33,33,2000,4015,마포구,망원동,케이바이브 망원,외국인관광도시민박업,외국인관광도시민박업 군집 1,86.1,49.19125196392359,원본유지,,0.0072099388037929,0.0493128643476526,0.1462080716496888,0.7114,24,100.0,0.5413411676919412,0.413,1.0,37.55561041,126.89867827
34,34,3828,2443,송파구,문정동,아마란스,외국인관광도시민박업,외국인관광도시민박업 군집 0,86.05,38.98193399897693,원본유지,,0.057258217397643,0.2621246834532392,0.2184388613972612,0.8805,1,100.0,0.0758657507747134,0.1036,0.25,37.48038036,127.12898046
35,35,1430,3676,강남구,신사동,리츠,숙박업,숙박업 군집 2,85.85,51.941693834011915,원본유지,,0.0256698485254815,0.1311500970403364,0.1957287802660682,0.7535,16,56.2,0.5108256237659907,0.1623,0.7,37.51793371,127.01814665
35,35,3363,3772,마포구,연남동,까사드 연남,외국인관광도시민박업,외국인관광도시민박업 군집 1,85.85,42.34131960723484,원본유지,,0.0228346742183722,0.1859023818425032,0.1228315312157635,0.6925,57,96.5,1.7679817385520165,0.4165,1.0,37.56204924,126.92491029
37,37,1027,3229,종로구,사직동,지니크 인,외국인관광도시민박업,외국인관광도시민박업 군집 1,85.74,54.10322839552837,원본유지,,0.0402487543123844,0.3049495778682326,0.1319849484421184,0.65,41,92.7,4.335982696172475,0.4236,1.0,37.57199422,126.96491619
38,38,2217,3724,종로구,당주동,SOUNDS INN GWANGHWAMUN,관광숙박업,관광숙박업 군집 3,85.71,48.19611278458494,보정,data\서울10구_숙소_소방거리_유클리드.csv,0.0242975418307713,0.1240722686850529,0.1958337837155907,0.6236,5,100.0,0.035612071788877,0.4676,0.55,37.56859605,126.97474946
39,39,2052,3935,마포구,연남동,바다민박,외국인관광도시민박업,외국인관광도시민박업 군집 1,85.61,48.871031764559824,원본유지,,0.0156699923729533,0.1102948322978641,0.1420736769482966,0.6448,30,83.3,0.4065574075067733,0.4553,0.85,37.56106961,126.92633979
40,40,8,4246,용산구,한강로3가,이촌 야드,외국인관광도시민박업,외국인관광도시민박업 군집 0,85.13,74.00456586534567,원본유지,,,,,0.7137,8,12.5,0.2006706954621511,0.8396,0.7,37.52008371,126.96781881
41,41,2378,587,강남구,신사동,로로맨숀,외국인관광도시민박업,외국인관광도시민박업 군집 0,85.12,47.43666953884414,원본유지,,0.0976712134028003,0.5206709597605483,0.1875872114083689,0.7183,4,75.0,1.1353334771240884,0.4412,0.0,37.51889711,127.01904247
41,41,3182,3973,마포구,연남동,헤이븐 연남,외국인관광도시민박업,외국인관광도시민박업 군집 1,85.12,43.32961964105766,원본유지,,0.0123352195841581,0.0954320677884562,0.1292565473012865,0.6778,45,95.6,0.3619071337690345,0.4289,1.0,37.56162667,126.92563715
43,43,3408,3774,강남구,논현동,정호하우스,외국인관광도시민박업,외국인관광도시민박업 군집 1,85.04,42.0454462902907,원본유지,,0.0227465659832797,0.1356366523513722,0.1677022072496589,0.7384,28,100.0,1.0129434941133115,0.1308,0.85,37.5090821,127.02582967
44,44,2744,3915,강남구,논현동,강남 루미,외국인관광도시민박업,외국인관광도시민박업 군집 1,84.61,45.70204235038718,원본유지,,0.0166055141484224,0.1009018014761112,0.1645710374393452,0.7044,26,100.0,1.2920919419064143,0.1394,1.0,37.50948935,127.02889503
45,45,3171,35,강남구,신사동,신사애인호텔,숙박업,숙박업 군집 2,84.6,43.41737621620618,보정,data\서울10구_숙소_소방거리_유클리드.csv,0.1451418322077419,0.5869071900271357,0.2472994617786694,0.7428,3,66.7,0.5343100689990601,0.1608,0.0,37.51856693,127.01835746
