구,동,숙소명,승인연도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,업종,건물용도명,총층수,시설규모/연면적,위험점수_AHP,AHP_매칭방식,업종그룹,공통_3등급,업종군별_3등급,x_5181,y_5181,주변건물수_원본,집중도_원본,주변건물수_보정여부,주변건물수_보정출처,주변건물수_보정컬럼,소방위험도_점수,반경100m_화재수,log1p_반경100m,예상_화재발생확률,조건부_예상피해액_백만원,기대피해액_백만원,기대피해액_순위,주변건물수_검증상태,고립위험_정규화,밀집사각지대_정규화,단속위험도_정규화,구조노후도_정규화,도로폭위험도_정규화,사각지대_위험도점수,사각지대_위험순위
종로구,창신동,호스텔 메가 동대문역,1992,6,100.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,관광숙박업,근린생활시설,6,152.0,31.72,exact,기존숙박군,안전,안전,200833.12,452040.32,6,0.0,보정,data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,0.129,0,0.0,0.4728505095763201,0.1898166053203215,0.0897548785517613,934.0,보정,0.954954954954955,-2.220446049250313e-16,0.0424553997613037,0.05166666666666665,0.18,37.53525441984297,3958
종로구,봉익동,포레스트 스테이 종로,2007,11,81.8,0.3761947258080512,0.1251,0.08,37.57018563,126.99144197,관광숙박업,"근린생활시설,숙박시설",5,285.0,17.81,exact,기존숙박군,안전,안전,199243.96,452293.9,11,81.8,원본유지,,,0.0858,0,0.0,0.482582621630972,0.1574798985544883,0.0759970622986045,1581.0,원본유지,0.9099099099099099,0.1864754098360656,0.05683782465888089,0.027888888888888866,0.08,38.0472557467847,3910
종로구,관철동,MOMENTO HOSTEL,1959,4,50.0,0.6931471805599453,0.1937,0.12,37.56655742,126.98379997,관광숙박업,"근린생활시설,숙박시설",5,435.0,61.53,exact,기존숙박군,위험,위험,198568.78,451891.3,4,0.0,보정,data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,0.4182,0,0.0,0.4955115935312028,0.2111311562700788,0.1046179356874721,401.0,보정,0.972972972972973,0.5122950819672131,0.10472496079481362,0.10411111111111111,0.12,49.232496771987186,1991
종로구,숭인동,더온재,1994,9,33.3,0.7105211484959985,0.1436,0.85,37.57228397,127.02039051,관광숙박업,"근린생활시설, 숙박시설",5,152.0,39.76,exact,기존숙박군,보통,보통,201801.3,452526.95,9,33.3,원본유지,,,0.2715,0,0.0,0.4186981887544373,0.1725065858590137,0.0722281950473808,1760.0,원본유지,0.9279279279279279,0.6834016393442623,0.10734992726944269,0.04844444444444444,0.85,61.23242584007104,273
중구,남창동,케이팝 서울타워 호스텔,2014,14,42.9,0.6931471805599453,0.115,0.55,37.55403706,126.97637629,관광숙박업,숙박시설(호스텔),5,488.0,29.91,exact,기존숙박군,안전,안전,197912.57,450501.83,14,42.9,원본유지,,,0.2539,0,0.0,0.5207040022471013,0.1706991881419202,0.0888837504458287,975.0,원본유지,0.8828828828828829,0.5850409836065573,0.10472496079481362,0.016666666666666677,0.55,52.672594984954245,1294
종로구,창신동,247 HOSTEL SEOUL,1989,5,20.0,2.290649742444773,0.1509,0.25,37.56817447,127.01314811,관광숙박업,숙박시설,5,261.0,25.19,exact,기존숙박군,안전,안전,201161.57,452070.73,5,20.0,원본유지,,,0.0918,0,0.0,0.7269536416484594,0.1742007068375093,0.1266358382132631,114.0,원본유지,0.963963963963964,0.819672131147541,0.34608552295976996,0.05655555555555557,0.25,59.92179753941943,371
종로구,관철동,찰나 호스텔,1975,3,66.7,1.0608719606852626,0.1708,0.08,37.56664615,126.98332934,관광숙박업,숙박시설,7,104.0,58.03,exact,기존숙박군,위험,위험,198527.2,451901.15,3,0.0,보정,data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,0.4213,0,0.0,0.5689280279421102,0.2138432941991435,0.1216614436573632,144.0,보정,0.9819819819819819,0.3411885245901639,0.16028309370216498,0.07866666666666668,0.08,45.97738626670512,2682
종로구,종로2가,스테이울림,1972,15,33.3,1.2794312155775294,0.1752,0.55,37.56718514,126.98358024,관광숙박업,숙박시설,8,104.0,57.72,exact,기존숙박군,위험,위험,198549.38,451960.97,15,33.3,원본유지,,,0.4089,0,0.0,,,,,원본유지,0.8738738738738738,0.6834016393442623,0.19330437697629763,0.08355555555555556,0.55,56.656517360448625,660
종로구,종로5가,편안정 종로5가점,1967,12,100.0,0.0130720815673527,0.1823,0.08,37.56810507,127.0045472,관광숙박업,숙박시설,7,91.0,59.3,exact,기존숙박군,위험,위험,200401.72,452062.96,12,0.0,보정,data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,0.3074,0,0.0,,,,,보정,0.9009009009009009,-2.220446049250313e-16,0.0019750108895223656,0.09144444444444443,0.08,34.13282336154103,4163
종로구,창신동,동대문 스테이가든,1959,6,100.0,1.8129221675840912,0.4747,0.25,37.56946846,127.01349641,관광숙박업,숙박시설,2,226.0,40.69,exact,기존숙박군,보통,보통,201192.32,452214.35,6,100.0,원본유지,,,0.1408,0,0.0,0.4975388754650868,0.1336338686758283,0.0664880447450207,2011.0,원본유지,0.954954954954955,-2.220446049250313e-16,0.27390748783096724,0.4163333333333334,0.25,47.527035740887925,2358
종로구,종로5가,고유리(Goyu;re),1975,5,100.0,0.0575238441381866,0.1708,0.08,37.56730221,127.0037223,관광숙박업,숙박시설,5,64.0,56.87,exact,기존숙박군,위험,위험,200328.85,451973.85,5,0.0,보정,data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,0.3379,0,0.0,,,,,보정,0.963963963963964,-2.220446049250313e-16,0.008691057961560262,0.07866666666666668,0.08,36.249104608162135,4072
종로구,충신동,온코리아 스테이,1994,8,75.0,0.8026314134016336,0.1436,1.0,37.57265524,127.00336668,관광숙박업,숙박시설,6,299.0,46.34,exact,기존숙박군,보통,보통,200297.41,452567.97,8,75.0,원본유지,,,0.3379,0,0.0,0.296941494711976,0.1619403283466968,0.0480868031534163,2917.0,원본유지,0.9369369369369369,0.2561475409836065,0.12126651547982827,0.04844444444444444,1.0,55.461408011329006,805
종로구,낙원동,하프레스트 호스텔,2000,16,75.0,1.5746285077682394,0.5361,0.08,37.56953983,126.98762245,관광숙박업,숙박시설,7,554.0,34.4,exact,기존숙박군,안전,보통,198906.53,452222.26,16,75.0,원본유지,,,0.2029,1,0.6931471805599453,0.5255831020387788,0.1366905858331683,0.0718422621216945,1773.0,원본유지,0.8648648648648649,0.2561475409836065,0.23790460867086147,0.4845555555555556,0.08,47.43012355333865,2379
종로구,숭인동,엔조이스테이 호스텔,2024,48,66.7,1.1337273076890122,0.1011,0.7,37.57029351,127.01912285,관광숙박업,숙박시설,5,596.0,36.9,exact,기존숙박군,안전,보통,201689.36,452306.01,48,66.7,원본유지,,,0.2984,0,0.0,0.7291191576050905,0.1375008588375817,0.100254510365634,517.0,원본유지,0.5765765765765766,0.3411885245901639,0.1712905298898108,0.0012222222222222079,0.7,40.091641953663945,3714
종로구,창신동,이온호텔,2022,3,66.7,1.6502405363066972,0.1036,0.18,37.56975326,127.01196959,관광숙박업,숙박시설,8,963.0,10.45,exact,기존숙박군,안전,안전,201057.43,452245.94,3,66.7,원본유지,,,0.1457,0,0.0,0.6296878587709586,0.1695240350991992,0.1067472266718275,357.0,원본유지,0.9819819819819819,0.3411885245901639,0.24932854134546248,0.00399999999999999,0.18,47.69306798135459,2321
종로구,관철동,오아시스 트레블러스 종로,1969,1,100.0,1.652923024373839,0.1794,0.55,37.56702341,126.98663866,관광숙박업,"점포, 노래연습장, 일반음식점",7,183.0,55.97,exact,기존숙박군,위험,위험,198819.57,451942.98,1,0.0,보정,data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,0.3074,0,0.0,0.4984479291113085,0.1962188643192593,0.0978048865725076,580.0,보정,1.0,-2.220446049250313e-16,0.2497338282247037,0.08822222222222222,0.55,48.31934075670388,2188
종로구,관철동,스테이 마루 종로,1965,3,66.7,0.3677247801253173,0.4641,0.55,37.56669767,126.98479778,관광숙박업,숙박시설,8,234.0,58.48,exact,기존숙박군,위험,위험,198656.93,451906.85,3,0.0,보정,data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,0.3811,0,0.0,0.2285949346228103,0.1789465503040149,0.0409062749677237,3203.0,보정,0.9819819819819819,0.3411885245901639,0.055558132907351364,0.4045555555555556,0.55,56.344845188116246,695
종로구,창신동,동대문인순,1934,2,50.0,2.585960082443016,0.2295,0.08,37.56877711,127.01021919,관광숙박업,숙박시설,6,46.0,45.68,exact,기존숙박군,보통,보통,200902.81,452137.58,2,50.0,원본유지,,,0.129,0,0.0,0.7069076614804302,0.16559028567669,0.1170570416115853,182.0,원본유지,0.990990990990991,0.5122950819672131,0.39070283461591176,0.1438888888888889,0.08,54.14946217660095,1020
종로구,권농동,스테이 종로 온당,2009,66,71.2,2.277267285009756,0.1222,0.85,37.57416521,126.99046732,관광숙박업,숙박시설,3,140.0,36.56,exact,기존숙박군,안전,보통,199157.9,452735.59,66,71.2,원본유지,,,0.1632,0,0.0,0.9146421308340134,0.1142923554515975,0.1045366035282875,403.0,원본유지,0.4144144144144144,0.29508196721311464,0.3440636185655427,0.024666666666666656,0.85,38.68709812724993,3854
종로구,종로6가,편안정,1980,2,50.0,0.7023638356648694,0.1637,0.18,37.56925877,127.006942,관광숙박업,숙박시설,6,106.0,37.81,exact,기존숙박군,안전,보통,200613.28,452191.02,2,50.0,원본유지,,,0.2365,0,0.0,,,,,원본유지,0.990990990990991,0.5122950819672131,0.10611747002170359,0.07077777777777779,0.18,50.28401504102117,1738
종로구,낙원동,소락방 주식회사,1971,7,85.7,0.3642775497015497,0.1766,0.08,37.57009871,126.98769431,관광숙박업,숙박시설,6,88.0,44.24,exact,기존숙박군,보통,보통,198912.88,452284.29,7,85.7,원본유지,,,0.192,0,0.0,0.4347814321855119,0.1632039313765602,0.0709580390222068,1816.0,원본유지,0.9459459459459459,0.1465163934426229,0.05503730402554286,0.08511111111111112,0.08,39.34066220401037,3798
종로구,연지동,스테이누아 종로,1992,17,94.1,1.4960019827707285,0.4165,0.08,37.56957912,126.99966041,관광숙박업,숙박시설,6,77.0,48.73,exact,기존숙박군,보통,위험,199970.0,452226.55,17,94.1,원본유지,,,0.2954,0,0.0,0.571549566361331,0.1422339837171155,0.081293771715362,1336.0,원본유지,0.8558558558558559,0.06045081967213117,0.22602522723682758,0.3516666666666667,0.08,41.02934975695,3571
종로구,관철동,1996 종로인,1996,2,50.0,1.2840155119994725,0.1408,0.12,37.56632523,126.98626896,관광숙박업,숙박시설,9,281.0,39.88,exact,기존숙박군,보통,보통,198786.9,451865.49,2,0.0,보정,data\서울10구_숙소_소방거리_유클리드.csv,반경_50m_건물수,0.3349,0,0.0,0.5898358484776023,0.2086694004475023,0.1230806928642651,136.0,보정,0.990990990990991,0.5122950819672131,0.19399700081799306,0.04533333333333335,0.12,50.32054133629884,1734
종로구,관수동,THE EXTAY LOUNGE,2023,21,90.5,0.8184642999558599,0.1022,0.55,37.56665459,126.98850671,관광숙박업,숙박시설,13,914.0,32.8,exact,기존숙박군,안전,안전,198984.6,451902.02,21,90.5,원본유지,,,0.2744,0,0.0,0.5550533378093532,0.1517699263889325,0.0842404042212568,1186.0,원본유지,0.8198198198198198,0.09733606557377039,0.12365864585294847,0.0024444444444444435,0.55,40.78196135962999,3615
