업종,model,pseudo_r2,log_likelihood,aic,spatial_param,표본수
전체,Spatial Lag,0.38540340049075755,449.3234915407493,-882.6469830814985,0.6884230195127995,1800
전체,Spatial Error,0.026594671553442056,447.67294908397116,-881.3458981679423,0.694610621129023,1800
관광숙박업,Spatial Lag,0.2705435929356164,-72.27255524387738,160.54511048775476,0.5785071533752131,528
관광숙박업,Spatial Error,0.0643340801859915,-69.76579949488257,153.53159898976514,0.6042973746809975,528
숙박업,Spatial Lag,0.5155256053769391,-9.943818895043592,35.88763779008718,0.7692693216346703,983
숙박업,Spatial Error,0.019202007671322168,-8.768069503265565,31.53613900653113,0.7737955218161036,983
외국인관광도시민박업,Spatial Lag,0.16239763216758196,1201.3421969842357,-2386.6843939684713,0.49205567155674745,1800
외국인관광도시민박업,Spatial Error,0.016341939353143004,1201.0551726203585,-2388.110345240717,0.4961345913023188,1800
