실폭도로일련번호,시군구코드,구,중심위도,중심경도
4085,11440,마포구,37.5591441,126.8958623
4274,11440,마포구,37.5720048,126.8856544
4283,11440,마포구,37.5685094,126.8910729
4280,11440,마포구,37.5676424,126.8924603
4148,11440,마포구,37.5766802,126.8632166
4125,11440,마포구,37.5767559,126.8633618
4284,11440,마포구,37.5691834,126.8906384
4271,11440,마포구,37.5726248,126.8876206
4225,11440,마포구,37.5767292,126.860101
4256,11440,마포구,37.5718142,126.8757208
4120,11440,마포구,37.5461357,126.9102555
4255,11440,마포구,37.5718003,126.8754997
4150,11440,마포구,37.5576569,126.896054
4258,11440,마포구,37.5728914,126.8755401
4082,11440,마포구,37.5749348,126.8665022
2789,11440,마포구,37.5694244,126.9125349
4058,11440,마포구,37.5767578,126.8632243
4240,11440,마포구,37.5682426,126.8754363
4281,11440,마포구,37.5671546,126.8923264
4282,11440,마포구,37.5679054,126.8922533
4175,11440,마포구,37.563615,126.8936534
4288,11440,마포구,37.5699261,126.8832958
4172,11440,마포구,37.5633912,126.8933711
4279,11440,마포구,37.5700228,126.8895464
4290,11440,마포구,37.5665006,126.8882766
4190,11440,마포구,37.5640485,126.8949182
4187,11440,마포구,37.563945,126.8967091
4299,11440,마포구,37.5683618,126.8871979
4305,11440,마포구,37.5673919,126.8871828
4194,11440,마포구,37.564129,126.8941129
4193,11440,마포구,37.564118,126.8963209
4180,11440,마포구,37.5637832,126.89645
4178,11440,마포구,37.5635934,126.8978107
4176,11440,마포구,37.5636949,126.8966157
4300,11440,마포구,37.5681446,126.8866501
4298,11440,마포구,37.5682667,126.8866947
4253,11440,마포구,37.575081,126.8743442
4223,11440,마포구,37.577031,126.8594981
3970,11440,마포구,37.5508792,126.9139221
4302,11440,마포구,37.5676799,126.8865069
4191,11440,마포구,37.5640596,126.8953173
4246,11440,마포구,37.5731754,126.8731064
4269,11440,마포구,37.5737721,126.8851751
4099,11440,마포구,37.577648,126.8786965
4259,11440,마포구,37.5740188,126.8757069
4405,11440,마포구,37.5571103,126.8929025
11,11440,마포구,37.5380502,126.9424583
4361,11440,마포구,37.5638961,126.8929175
4370,11440,마포구,37.563641,126.8937557
4312,11440,마포구,37.569298,126.8847936
4356,11440,마포구,37.5626929,126.892247
4440,11440,마포구,37.5534632,126.8977904
4426,11440,마포구,37.5629567,126.8846811
4364,11440,마포구,37.5637334,126.8910297
4379,11440,마포구,37.562855,126.8958236
4330,11440,마포구,37.5668918,126.8936933
4346,11440,마포구,37.5626619,126.8925111
4326,11440,마포구,37.5650037,126.8966851
4377,11440,마포구,37.562399,126.8936893
4371,11440,마포구,37.5626785,126.8924211
4307,11440,마포구,37.5675362,126.88735
4369,11440,마포구,37.5640386,126.8950244
4306,11440,마포구,37.5674598,126.8873932
4419,11440,마포구,37.5642829,126.8820159
4385,11440,마포구,37.5616834,126.8869978
4352,11440,마포구,37.5619142,126.8922038
4428,11440,마포구,37.5610561,126.8871547
4354,11440,마포구,37.5619576,126.8925244
4374,11440,마포구,37.5617213,126.8938433
4342,11440,마포구,37.5610733,126.8926197
4323,11440,마포구,37.5651446,126.89587
4411,11440,마포구,37.564954,126.881332
4355,11440,마포구,37.5621299,126.8924917
4343,11440,마포구,37.5608379,126.8927799
4359,11440,마포구,37.5637102,126.8931955
4357,11440,마포구,37.5642027,126.8934856
321,11440,마포구,37.5581257,126.959877
4582,11440,마포구,37.5668164,126.9190677
4422,11440,마포구,37.5630356,126.8836282
4322,11440,마포구,37.5670356,126.8846577
293,11440,마포구,37.5577739,126.9305134
4321,11440,마포구,37.5670948,126.8847782
4311,11440,마포구,37.5689525,126.884893
4373,11440,마포구,37.5635292,126.8966628
4351,11440,마포구,37.5621521,126.8921329
4319,11440,마포구,37.5670799,126.8850201
4324,11440,마포구,37.5651844,126.8958249
4316,11440,마포구,37.5677541,126.8838171
4366,11440,마포구,37.5641735,126.8918182
4317,11440,마포구,37.5678033,126.8831882
4966,11440,마포구,37.5445194,126.9502284
756,11500,강서구,37.5648101,126.859273
748,11500,강서구,37.5659681,126.8572858
349,11500,강서구,37.5814264,126.7973111
231,11500,강서구,37.547267,126.8750429
743,11500,강서구,37.590865,126.8048541
758,11500,강서구,37.564382,126.8602724
1085,11500,강서구,37.5608469,126.8019601
7422,11560,영등포구,37.5449964,126.8899849
10,11560,영등포구,37.5400992,126.8862796
7441,11560,영등포구,37.5446242,126.8904115
7448,11560,영등포구,37.518268,126.9175498
7440,11560,영등포구,37.5517827,126.8788619
9,11560,영등포구,37.5407064,126.8860917
7446,11560,영등포구,37.5316342,126.9099474
292,11560,영등포구,37.5382747,126.8873977
294,11560,영등포구,37.5377961,126.887673
11,11560,영등포구,37.5398463,126.8864963
293,11560,영등포구,37.5380669,126.8875118
7451,11560,영등포구,37.5170668,126.9407067
7233,11560,영등포구,37.5468541,126.8872448
290,11560,영등포구,37.5325912,126.8887304
284,11560,영등포구,37.5197404,126.9187808
289,11560,영등포구,37.537688,126.8877305
7411,11560,영등포구,37.5320133,126.908879
7449,11560,영등포구,37.5165779,126.9406581
7444,11560,영등포구,37.5320105,126.9090879
8,11560,영등포구,37.5435932,126.884508
291,11560,영등포구,37.5388686,126.8870635
7804,11560,영등포구,37.5177957,126.9390083
7445,11560,영등포구,37.5316581,126.9099973
7894,11560,영등포구,37.4904363,126.9079671
7862,11560,영등포구,37.5165333,126.8800143
7895,11560,영등포구,37.490897,126.9083377
7892,11560,영등포구,37.4889377,126.9067303
7891,11560,영등포구,37.488194,126.9061354
7889,11560,영등포구,37.4864685,126.9047174
7887,11560,영등포구,37.4850536,126.9035598
7888,11560,영등포구,37.4856024,126.9040165
7890,11560,영등포구,37.4872903,126.9053847
7893,11560,영등포구,37.4896523,126.9073181
1159,11650,서초구,37.523219,127.0150932
1151,11650,서초구,37.5237768,127.0152538
211,11650,서초구,37.4942297,127.0061421
212,11650,서초구,37.494036,127.0062257
254,11650,서초구,37.478225,127.0092341
1158,11650,서초구,37.5239464,127.0155524
1152,11650,서초구,37.5042872,126.9798589
1000,11650,서초구,37.5130613,127.0031032
629,11650,서초구,37.4833174,127.0298528
1148,11650,서초구,37.5233014,127.015151
576,11650,서초구,37.5201497,127.0173788
251,11650,서초구,37.4786907,127.0099742
539,11650,서초구,37.4723362,126.983146
1381,11650,서초구,37.4623256,127.0387311
1380,11650,서초구,37.4614105,127.0375358
1377,11650,서초구,37.4596107,127.0331389
1356,11650,서초구,37.4602262,127.031845
1355,11650,서초구,37.4602508,127.0311769
1357,11650,서초구,37.4602057,127.0322831
1358,11650,서초구,37.4601775,127.0327381
1375,11650,서초구,37.4597058,127.0310703
1352,11650,서초구,37.4605644,127.0213205
1376,11650,서초구,37.4596527,127.0320736
1368,11650,서초구,37.4654511,127.0422611
1384,11650,서초구,37.464876,127.0424166
1363,11650,서초구,37.4627763,127.0384474
1364,11650,서초구,37.4632151,127.0390523
1362,11650,서초구,37.4623587,127.0378261
1367,11650,서초구,37.4651224,127.0418073
3949,11680,강남구,37.4852551,127.0979558
3708,11680,강남구,37.4767925,127.0663364
3709,11680,강남구,37.4774575,127.0651667
3947,11680,강남구,37.4854894,127.0983088
3699,11680,강남구,37.4755174,127.0648708
3695,11680,강남구,37.4744214,127.0644972
3710,11680,강남구,37.4766564,127.0655546
3700,11680,강남구,37.4753712,127.0646765
3711,11680,강남구,37.4766134,127.065281
3685,11680,강남구,37.4765026,127.0630639
3687,11680,강남구,37.4772291,127.0620892
4416,11680,강남구,37.5283992,127.0113621
3702,11680,강남구,37.4746915,127.0648647
3677,11680,강남구,37.4763957,127.0670947
3676,11680,강남구,37.4766451,127.0669155
3688,11680,강남구,37.4765438,127.0612935
3701,11680,강남구,37.4750422,127.0647965
3686,11680,강남구,37.4770362,127.0624384
3684,11680,강남구,37.4767711,127.063102
4917,11680,강남구,37.465649,127.1162854
4899,11680,강남구,37.4657212,127.1140801
4931,11680,강남구,37.4755335,127.0584767
4897,11680,강남구,37.4654183,127.1121245
4935,11680,강남구,37.48516,127.0744206
4900,11680,강남구,37.4655372,127.1128912
4941,11680,강남구,37.4924149,127.0948747
4934,11680,강남구,37.476045,127.059467
4891,11680,강남구,37.4673202,127.12026
4932,11680,강남구,37.4755531,127.0586154
4919,11680,강남구,37.4666583,127.1189487
4918,11680,강남구,37.4659081,127.1173181
846,11710,송파구,37.5171395,127.076382
1156,11710,송파구,37.4900997,127.1525636
1105,11710,송파구,37.5178697,127.0770644
12,11710,송파구,37.5308692,127.0973416
2,11710,송파구,37.5320938,127.0965387
1,11710,송파구,37.5321861,127.0966558
1098,11710,송파구,37.5190177,127.0928985
11,11710,송파구,37.5309774,127.0974491
371,11710,송파구,37.4983702,127.1605866
853,11710,송파구,37.519872,127.0944424
1103,11710,송파구,37.5182363,127.0761623
1145,11710,송파구,37.4906368,127.1535442
783,11710,송파구,37.519872,127.0944424
1107,11710,송파구,37.5176201,127.0789822
875,11710,송파구,37.5088545,127.1000496
1267,11710,송파구,37.5128285,127.0783636
