그리드ID,주요구,주요법정동코드,주요법정동명,포함법정동수,그리드행,그리드열,기준면적_m2,기준면적_ha,전체건물수,건축면적입력건물수,건축면적누락건물수,건축면적역추산건물수,건축면적산정불가건물수,연면적입력건물수,층수입력건물수,전체건물수_per_ha,전체건물연면적합계_m2,전체건축면적합계_m2,계산건축면적합계_m2,건축면적x층수_분자,건축면적x층수_밀도,전체건물입체화재하중_분자_원본,전체건물입체화재하중_분자,면적계산가능건물수,면적보정건물수,표제부보정건물수,전체건물_입체화재하중밀도,상가수,상가수_per_ha,숙박시설수,숙박시설수_per_ha,상가숙박_개수,상가숙박_개수_per_ha,상가연면적합계_m2,숙박연면적합계_m2,상가건축면적x층수_분자,상가건축면적x층수_밀도,숙박입체화재하중_분자,상가숙박_면적층수_분자,상가숙박_면적층수_밀도,상가입체화재하중_분자,상가_입체화재하중밀도,건물데이터_0여부,면적데이터_0여부,중심위도,중심경도,x_min_EPSG5186,y_min_EPSG5186,x_max_EPSG5186,y_max_EPSG5186
G50K_R0001_C0121,서초구,1165011100,신원동,1.0,1,121,50000.0,5.0,6.0,1.0,5.0,0.0,5.0,1.0,6.0,1.2,215.99,344.0,344.0,215.99,0.00432,688.0,215.99,1.0,1.0,0.0,0.00432,1.0,0.2,0.0,0.0,1.0,0.2,215.99,0.0,215.99,0.00432,0.0,215.99,0.00432,215.99,0.00432,N,N,37.430276,127.070924,206165.467525,536656.3146,206389.074323,536879.921398
G50K_R0003_C0121,서초구,1165011100,신원동,1.0,3,121,50000.0,5.0,19.0,7.0,12.0,8.0,4.0,15.0,19.0,3.8,2500.33,2761.0,3297.72,2500.33,0.050007,7780.21,2500.33,15.0,15.0,0.0,0.050007,1.0,0.2,0.0,0.0,1.0,0.2,149.92,0.0,149.92,0.002998,0.0,149.92,0.002998,149.92,0.002998,N,N,37.434306,127.070927,206165.467525,537103.528195,206389.074323,537327.134993
G50K_R0004_C0121,서초구,1165011100,신원동,1.0,4,121,50000.0,5.0,10.0,5.0,5.0,2.0,3.0,7.0,10.0,2.0,1576.26,1817.0,1912.105,1576.26,0.031525,5641.21,1576.26,7.0,7.0,0.0,0.031525,1.0,0.2,0.0,0.0,1.0,0.2,257.63,0.0,257.63,0.005153,0.0,257.63,0.005153,257.63,0.005153,N,N,37.436321,127.070929,206165.467525,537327.134993,206389.074323,537550.741791
G50K_R0007_C0115,서초구,1165010400,원지동,1.0,7,115,50000.0,5.0,25.0,14.0,11.0,3.0,8.0,17.0,25.0,5.0,3655.54,5760.0,5950.25,3655.54,0.073111,14051.880000000001,3655.54,17.0,17.0,0.0,0.073111,10.0,2.0,0.0,0.0,10.0,2.0,2097.88,0.0,2097.88,0.041958,0.0,2097.88,0.041958,2097.88,0.041958,N,N,37.442373,127.055774,204823.826739,537997.955386,205047.433537,538221.562184
G50K_R0007_C0116,서초구,1165010400,원지동,1.0,7,116,50000.0,5.0,6.0,2.0,4.0,1.0,3.0,3.0,6.0,1.2,569.88,726.24,806.87,569.88,0.011398,2339.98,569.88,3.0,3.0,0.0,0.011398,2.0,0.4,0.0,0.0,2.0,0.4,408.62,0.0,408.62,0.008172,0.0,408.62,0.008172,408.62,0.008172,N,N,37.442372,127.058301,205047.433537,537997.955386,205271.040334,538221.562184
G50K_R0007_C0118,서초구,1165011100,신원동,1.0,7,118,50000.0,5.0,6.0,1.0,5.0,0.0,5.0,1.0,6.0,1.2,12.89,724536.0,724536.0,12.89,0.000258,724536.0,12.89,1.0,1.0,0.0,0.000258,1.0,0.2,0.0,0.0,1.0,0.2,12.89,0.0,12.89,0.000258,0.0,12.89,0.000258,12.89,0.000258,N,N,37.442369,127.063354,205494.647132,537997.955386,205718.25393,538221.562184
G50K_R0008_C0115,서초구,1165010400,원지동,1.0,8,115,50000.0,5.0,30.0,20.0,10.0,4.0,6.0,24.0,30.0,6.0,7310.05,8154.6,8394.246667,7310.05,0.146201,20664.41,7310.05,24.0,24.0,0.0,0.146201,21.0,4.2,0.0,0.0,21.0,4.2,6651.21,0.0,6651.21,0.133024,0.0,6651.21,0.133024,6651.21,0.133024,N,N,37.444388,127.055776,204823.826739,538221.562184,205047.433537,538445.168982
G50K_R0008_C0116,서초구,1165011100,신원동,2.0,8,116,50000.0,5.0,41.0,20.0,21.0,9.0,12.0,29.0,41.0,8.2,6996.46,7287.0,7876.32,6996.46,0.139929,20449.45,6996.46,29.0,29.0,0.0,0.139929,17.0,3.4,0.0,0.0,17.0,3.4,4380.61,0.0,4380.61,0.087612,0.0,4380.61,0.087612,4380.61,0.087612,N,N,37.444386,127.058302,205047.433537,538221.562184,205271.040334,538445.168982
G50K_R0009_C0114,서초구,1165011100,신원동,1.0,9,114,50000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.2,0.0,20177.715,0.0,0.0,20177.715,20177.715,0.403554,0.0,0.0,Y,N,37.446404,127.05325,204600.219941,538445.168982,204823.826739,538668.77578
G50K_R0009_C0115,서초구,1165011100,신원동,1.0,9,115,50000.0,5.0,10.0,1.0,9.0,0.0,9.0,1.0,10.0,2.0,297.46,330.0,330.0,297.46,0.005949,990.0,297.46,1.0,1.0,0.0,0.005949,1.0,0.2,0.0,0.0,1.0,0.2,297.46,0.0,297.46,0.005949,0.0,297.46,0.005949,297.46,0.005949,N,N,37.446402,127.055777,204823.826739,538445.168982,205047.433537,538668.77578
G50K_R0009_C0116,서초구,1165011100,신원동,1.0,9,116,50000.0,5.0,62.0,29.0,33.0,20.0,13.0,49.0,62.0,12.4,11579.535,10708.29,12136.671667,11579.535,0.231591,31468.21,11579.535,49.0,49.0,0.0,0.231591,21.0,4.2,0.0,0.0,21.0,4.2,5554.31,0.0,5554.31,0.111086,0.0,5554.31,0.111086,5554.31,0.111086,N,N,37.446401,127.058304,205047.433537,538445.168982,205271.040334,538668.77578
G50K_R0010_C0116,서초구,1165011100,신원동,1.0,10,116,50000.0,5.0,30.0,14.0,16.0,12.0,4.0,26.0,30.0,6.0,4257.37,5223.0,5999.813333,4257.37,0.085147,12403.36,4257.37,26.0,26.0,0.0,0.085147,4.0,0.8,0.0,0.0,4.0,0.8,624.48,0.0,624.48,0.01249,0.0,624.48,0.01249,624.48,0.01249,N,N,37.448416,127.058306,205047.433537,538668.77578,205271.040334,538892.382577
G50K_R0012_C0112,서초구,1165010400,원지동,1.0,12,112,50000.0,5.0,23.0,3.0,20.0,1.0,19.0,4.0,23.0,4.6,748.62,2266.0,2335.54,748.62,0.014972,3794.08,748.62,4.0,4.0,0.0,0.014972,2.0,0.4,0.0,0.0,2.0,0.4,310.92,0.0,310.92,0.006218,0.0,310.92,0.006218,310.92,0.006218,N,N,37.45245,127.0482,204153.006346,539115.989375,204376.613143,539339.596173
G50K_R0012_C0115,서초구,1165011100,신원동,1.0,12,115,50000.0,5.0,37.0,13.0,24.0,7.0,17.0,20.0,37.0,7.4,4968.95,4945.44,5356.183333,4968.95,0.099379,12656.6,4968.95,20.0,20.0,0.0,0.099379,5.0,1.0,0.0,0.0,5.0,1.0,1370.6,0.0,1370.6,0.027412,0.0,1370.6,0.027412,1370.6,0.027412,N,N,37.452447,127.055781,204823.826739,539115.989375,205047.433537,539339.596173
G50K_R0012_C0119,서초구,1165010900,내곡동,1.0,12,119,50000.0,5.0,43.0,24.0,19.0,15.0,4.0,39.0,43.0,8.6,9047.6,9410.6,10468.475,9047.6,0.180952,25609.88,9047.6,39.0,39.0,0.0,0.180952,5.0,1.0,0.0,0.0,5.0,1.0,1225.24,0.0,1225.24,0.024505,0.0,1225.24,0.024505,1225.24,0.024505,N,N,37.452441,127.06589,205718.25393,539115.989375,205941.860728,539339.596173
G50K_R0012_C0123,서초구,1165010900,내곡동,1.0,12,123,50000.0,5.0,12.0,3.0,9.0,2.0,7.0,5.0,12.0,2.4,891.92,1051.75,1412.25,891.92,0.017838,2464.0,891.92,5.0,5.0,0.0,0.017838,2.0,0.4,0.0,0.0,2.0,0.4,331.65,0.0,331.65,0.006633,0.0,331.65,0.006633,331.65,0.006633,N,N,37.452435,127.075999,206612.681121,539115.989375,206836.287919,539339.596173
G50K_R0012_C0125,서초구,1165010900,내곡동,1.0,12,125,50000.0,5.0,24.0,10.0,14.0,1.0,13.0,11.0,24.0,4.8,3799.21,24223.36,24353.87,3799.21,0.075984,41647.23,3799.21,11.0,11.0,0.0,0.075984,2.0,0.4,0.0,0.0,2.0,0.4,430.87,0.0,430.87,0.008617,0.0,430.87,0.008617,430.87,0.008617,N,N,37.452432,127.081053,207059.894716,539115.989375,207283.501514,539339.596173
G50K_R0013_C0112,서초구,1165010400,원지동,1.0,13,112,50000.0,5.0,27.0,1.0,26.0,1.0,25.0,2.0,27.0,5.4,421.96,344.0,430.46,421.96,0.008439,1204.92,421.96,2.0,2.0,0.0,0.008439,1.0,0.2,0.0,0.0,1.0,0.2,249.04,0.0,249.04,0.004981,0.0,249.04,0.004981,249.04,0.004981,N,N,37.454465,127.048201,204153.006346,539339.596173,204376.613143,539563.202971
G50K_R0013_C0113,서초구,1165011100,신원동,2.0,13,113,50000.0,5.0,23.0,12.0,11.0,4.0,7.0,16.0,23.0,4.6,2371.7,4523.0,4748.085,2371.7,0.047434,7906.28,2371.7,16.0,16.0,0.0,0.047434,9.0,1.8,0.0,0.0,9.0,1.8,1385.6,0.0,1385.6,0.027712,0.0,1385.6,0.027712,1385.6,0.027712,N,N,37.454464,127.050729,204376.613143,539339.596173,204600.219941,539563.202971
G50K_R0013_C0114,서초구,1165011100,신원동,1.0,13,114,50000.0,5.0,62.0,15.0,47.0,17.0,30.0,32.0,62.0,12.4,6488.11,5412.5,6689.775,6488.11,0.129762,14770.76,6488.11,32.0,32.0,0.0,0.129762,8.0,1.6,0.0,0.0,8.0,1.6,1882.01,0.0,1882.01,0.03764,0.0,1882.01,0.03764,1882.01,0.03764,N,N,37.454462,127.053256,204600.219941,539339.596173,204823.826739,539563.202971
G50K_R0013_C0115,서초구,1165011100,신원동,1.0,13,115,50000.0,5.0,35.0,12.0,23.0,13.0,10.0,25.0,35.0,7.0,4967.99,4441.12,5390.256667,4967.99,0.09936,12326.35,4967.99,25.0,25.0,0.0,0.09936,4.0,0.8,0.0,0.0,4.0,0.8,537.83,0.0,537.83,0.010757,0.0,537.83,0.010757,537.83,0.010757,N,N,37.454461,127.055783,204823.826739,539339.596173,205047.433537,539563.202971
G50K_R0013_C0119,서초구,1165010900,내곡동,1.0,13,119,50000.0,5.0,50.0,34.0,16.0,10.0,6.0,44.0,50.0,10.0,11624.23,13689.0,14329.77,11624.23,0.232485,34435.73,11624.23,44.0,44.0,0.0,0.232485,12.0,2.4,0.0,0.0,12.0,2.4,5844.67,0.0,5844.67,0.116893,0.0,5844.67,0.116893,5844.67,0.116893,N,N,37.454456,127.065892,205718.25393,539339.596173,205941.860728,539563.202971
G50K_R0013_C0120,서초구,1165010900,내곡동,1.0,13,120,50000.0,5.0,17.0,12.0,5.0,4.0,1.0,16.0,17.0,3.4,5509.03,5793.86,6112.945,5509.03,0.110181,15180.91,5509.03,16.0,16.0,0.0,0.110181,3.0,0.6,0.0,0.0,3.0,0.6,994.13,0.0,994.13,0.019883,0.0,994.13,0.019883,994.13,0.019883,N,N,37.454455,127.068419,205941.860728,539339.596173,206165.467525,539563.202971
G50K_R0013_C0123,서초구,1165010900,내곡동,1.0,13,123,50000.0,5.0,14.0,6.0,8.0,3.0,5.0,9.0,14.0,2.8,1546.0,6055.7,6516.3,1546.0,0.03092,9259.78,1546.0,9.0,9.0,0.0,0.03092,2.0,0.4,0.0,0.0,2.0,0.4,427.84,0.0,427.84,0.008557,0.0,427.84,0.008557,427.84,0.008557,N,N,37.45445,127.076001,206612.681121,539339.596173,206836.287919,539563.202971
G50K_R0013_C0125,서초구,1165010900,내곡동,1.0,13,125,50000.0,5.0,40.0,3.0,37.0,10.0,27.0,13.0,40.0,8.0,1782.23,1155.48,2091.4,1782.23,0.035645,2936.93,1782.23,13.0,13.0,0.0,0.035645,2.0,0.4,0.0,0.0,2.0,0.4,423.08,0.0,423.08,0.008462,0.0,423.08,0.008462,423.08,0.008462,N,N,37.454447,127.081055,207059.894716,539339.596173,207283.501514,539563.202971
G50K_R0013_C0128,서초구,1165010900,내곡동,1.0,13,128,50000.0,5.0,3.0,2.0,1.0,1.0,0.0,3.0,3.0,0.6,2740.98,15364.0,16352.49,2740.98,0.05482,17340.98,2740.98,3.0,3.0,0.0,0.05482,1.0,0.2,0.0,0.0,1.0,0.2,64.0,0.0,64.0,0.00128,0.0,64.0,0.00128,64.0,0.00128,N,N,37.454441,127.088637,207730.71511,539339.596173,207954.321907,539563.202971
G50K_R0014_C0099,서초구,1165010300,우면동,1.0,14,99,50000.0,5.0,12.0,10.0,2.0,0.0,2.0,10.0,12.0,2.4,29731.44,7688.6,7688.6,29731.44,0.594629,51377.0,29731.44,10.0,10.0,0.0,0.594629,5.0,1.0,0.0,0.0,5.0,1.0,7797.28,0.0,7797.28,0.155946,0.0,7797.28,0.155946,7797.28,0.155946,N,N,37.456488,127.015348,201246.117975,539563.202971,201469.724773,539786.809768
G50K_R0014_C0113,서초구,1165011100,신원동,1.0,14,113,50000.0,5.0,13.0,4.0,9.0,2.0,7.0,6.0,13.0,2.6,1022.57,1309.44,1459.27,1022.57,0.020451,3376.73,1022.57,6.0,6.0,0.0,0.020451,2.0,0.4,0.0,0.0,2.0,0.4,317.97,0.0,317.97,0.006359,0.0,317.97,0.006359,317.97,0.006359,N,N,37.456478,127.05073,204376.613143,539563.202971,204600.219941,539786.809768
G50K_R0014_C0114,서초구,1165011100,신원동,1.0,14,114,50000.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,0.6,354.16,698.0,760.96,354.16,0.007083,1521.92,354.16,2.0,2.0,0.0,0.007083,1.0,0.2,0.0,0.0,1.0,0.2,228.24,0.0,228.24,0.004565,0.0,228.24,0.004565,228.24,0.004565,N,N,37.456477,127.053257,204600.219941,539563.202971,204823.826739,539786.809768
G50K_R0014_C0115,서초구,1165011000,염곡동,2.0,14,115,50000.0,5.0,15.0,5.0,10.0,5.0,5.0,10.0,15.0,3.0,1729.77,1694.0,2115.755,1729.77,0.034595,4135.51,1729.77,10.0,10.0,0.0,0.034595,3.0,0.6,0.0,0.0,3.0,0.6,453.35,0.0,453.35,0.009067,0.0,453.35,0.009067,453.35,0.009067,N,N,37.456476,127.055784,204823.826739,539563.202971,205047.433537,539786.809768
G50K_R0014_C0116,서초구,1165011000,염곡동,2.0,14,116,50000.0,5.0,17.0,7.0,10.0,2.0,8.0,9.0,17.0,3.4,4546.56,4204.92,4326.18,4546.56,0.090931,16688.36,4546.56,9.0,9.0,0.0,0.090931,5.0,1.0,0.0,0.0,5.0,1.0,3877.79,0.0,3877.79,0.077556,0.0,3877.79,0.077556,3877.79,0.077556,N,N,37.456475,127.058312,205047.433537,539563.202971,205271.040334,539786.809768
G50K_R0014_C0118,서초구,1165010900,내곡동,1.0,14,118,50000.0,5.0,30.0,11.0,19.0,5.0,14.0,16.0,30.0,6.0,4441.25,4023.25,4426.555,4441.25,0.088825,10451.11,4441.25,16.0,16.0,0.0,0.088825,4.0,0.8,0.0,0.0,4.0,0.8,1291.15,0.0,1291.15,0.025823,0.0,1291.15,0.025823,1291.15,0.025823,N,N,37.456472,127.063366,205494.647132,539563.202971,205718.25393,539786.809768
G50K_R0014_C0119,서초구,1165010900,내곡동,1.0,14,119,50000.0,5.0,16.0,9.0,7.0,4.0,3.0,13.0,16.0,3.2,3215.46,3300.68,3578.8,3215.46,0.064309,8377.15,3215.46,13.0,13.0,0.0,0.064309,2.0,0.4,0.0,0.0,2.0,0.4,773.5,0.0,773.5,0.01547,0.0,773.5,0.01547,773.5,0.01547,N,N,37.456471,127.065894,205718.25393,539563.202971,205941.860728,539786.809768
G50K_R0014_C0120,서초구,1165010900,내곡동,1.0,14,120,50000.0,5.0,8.0,5.0,3.0,2.0,1.0,7.0,8.0,1.6,27480.73,32976.28,33044.257143,27480.73,0.549615,257789.96000000002,27480.73,7.0,7.0,0.0,0.549615,2.0,0.4,0.0,0.0,2.0,0.4,756.81,0.0,756.81,0.015136,0.0,756.81,0.015136,756.81,0.015136,N,N,37.456469,127.068421,205941.860728,539563.202971,206165.467525,539786.809768
G50K_R0014_C0121,서초구,1165010900,내곡동,1.0,14,121,50000.0,5.0,12.0,3.0,9.0,4.0,5.0,7.0,12.0,2.4,1060.39,1019.0,1342.135,1060.39,0.021208,2817.4700000000003,1060.39,7.0,7.0,0.0,0.021208,2.0,0.4,0.0,0.0,2.0,0.4,461.52,0.0,461.52,0.00923,0.0,461.52,0.00923,461.52,0.00923,N,N,37.456468,127.070948,206165.467525,539563.202971,206389.074323,539786.809768
G50K_R0014_C0123,서초구,1165010900,내곡동,1.0,14,123,50000.0,5.0,4.0,1.0,3.0,1.0,2.0,2.0,4.0,0.8,387.79,256.0,420.14,387.79,0.007756,676.14,387.79,2.0,2.0,0.0,0.007756,1.0,0.2,0.0,0.0,1.0,0.2,223.65,0.0,223.65,0.004473,0.0,223.65,0.004473,223.65,0.004473,N,N,37.456465,127.076003,206612.681121,539563.202971,206836.287919,539786.809768
G50K_R0014_C0125,서초구,1165010900,내곡동,1.0,14,125,50000.0,5.0,19.0,4.0,15.0,1.0,14.0,5.0,19.0,3.8,570.11,1683.87,1813.19,570.11,0.011402,2605.19,570.11,5.0,5.0,0.0,0.011402,3.0,0.6,0.0,0.0,3.0,0.6,391.2,0.0,391.2,0.007824,0.0,391.2,0.007824,391.2,0.007824,N,N,37.456461,127.081057,207059.894716,539563.202971,207283.501514,539786.809768
G50K_R0014_C0128,서초구,1165010900,내곡동,1.0,14,128,50000.0,5.0,24.0,6.0,18.0,7.0,11.0,13.0,24.0,4.8,1014.29,13177.0,13883.78,1014.29,0.020286,13883.779999999999,1014.29,13.0,13.0,0.0,0.020286,3.0,0.6,0.0,0.0,3.0,0.6,391.0,0.0,391.0,0.00782,0.0,391.0,0.00782,391.0,0.00782,N,N,37.456456,127.088639,207730.71511,539563.202971,207954.321907,539786.809768
G50K_R0015_C0088,서초구,1165010100,방배동,1.0,15,88,50000.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,6093.19,0.0,1523.2975,6093.19,0.121864,6093.19,6093.19,1.0,1.0,0.0,0.121864,1.0,0.2,0.0,0.0,1.0,0.2,6093.19,0.0,6093.19,0.121864,0.0,6093.19,0.121864,6093.19,0.121864,N,N,37.458503,126.987547,198786.4432,539786.809768,199010.049997,540010.416566
G50K_R0015_C0097,서초구,1165010300,우면동,1.0,15,97,50000.0,5.0,9.0,3.0,6.0,2.0,4.0,5.0,9.0,1.8,1090.57,1222.0,1353.175,1090.57,0.021811,3171.35,1090.57,5.0,5.0,0.0,0.021811,1.0,0.2,0.0,0.0,1.0,0.2,199.2,0.0,199.2,0.003984,0.0,199.2,0.003984,199.2,0.003984,N,N,37.458503,127.010293,200798.904379,539786.809768,201022.511177,540010.416566
G50K_R0015_C0098,서초구,1165010300,우면동,1.0,15,98,50000.0,5.0,61.0,21.0,40.0,8.0,32.0,29.0,61.0,12.2,7657.43,8993.12,9506.205,7657.43,0.153149,23678.53,7657.43,29.0,29.0,0.0,0.153149,8.0,1.6,0.0,0.0,8.0,1.6,3093.84,0.0,3093.84,0.061877,0.0,3093.84,0.061877,3093.84,0.061877,N,N,37.458503,127.012821,201022.511177,539786.809768,201246.117975,540010.416566
G50K_R0015_C0099,서초구,1165010300,우면동,1.0,15,99,50000.0,5.0,28.0,3.0,25.0,3.0,22.0,6.0,28.0,5.6,1561.71,1268.44,1462.34,1561.71,0.031234,3374.68,1561.71,6.0,6.0,0.0,0.031234,1.0,0.2,0.0,0.0,1.0,0.2,726.47,0.0,726.47,0.014529,0.0,726.47,0.014529,726.47,0.014529,N,N,37.458503,127.015348,201246.117975,539786.809768,201469.724773,540010.416566
G50K_R0015_C0107,서초구,1165010200,양재동,1.0,15,107,50000.0,5.0,18.0,1.0,17.0,0.0,17.0,1.0,18.0,3.6,18089.92,32094.9,32094.9,18089.92,0.361798,128379.6,18089.92,1.0,1.0,0.0,0.361798,1.0,0.2,0.0,0.0,1.0,0.2,18089.92,0.0,18089.92,0.361798,0.0,18089.92,0.361798,18089.92,0.361798,N,N,37.458499,127.035567,203034.972357,539786.809768,203258.579155,540010.416566
G50K_R0015_C0112,서초구,1165010400,원지동,2.0,15,112,50000.0,5.0,68.0,1.0,67.0,2.0,65.0,3.0,68.0,13.6,791.27,1874.0,2046.533333,791.27,0.015825,2315.27,791.27,3.0,3.0,0.0,0.015825,2.0,0.4,0.0,0.0,2.0,0.4,441.27,0.0,441.27,0.008825,0.0,441.27,0.008825,441.27,0.008825,N,N,37.458494,127.048204,204153.006346,539786.809768,204376.613143,540010.416566
G50K_R0015_C0115,서초구,1165011000,염곡동,1.0,15,115,50000.0,5.0,25.0,12.0,13.0,5.0,8.0,17.0,25.0,5.0,3128.83,3830.0,4283.501667,3128.83,0.062577,9005.61,3128.83,17.0,17.0,0.0,0.062577,4.0,0.8,0.0,0.0,4.0,0.8,421.19,0.0,421.19,0.008424,0.0,421.19,0.008424,421.19,0.008424,N,N,37.458491,127.055786,204823.826739,539786.809768,205047.433537,540010.416566
G50K_R0015_C0116,서초구,1165011000,염곡동,1.0,15,116,50000.0,5.0,7.0,2.0,5.0,0.0,5.0,2.0,7.0,1.4,580.46,879.22,879.22,580.46,0.011609,2182.96,580.46,2.0,2.0,0.0,0.011609,1.0,0.2,0.0,0.0,1.0,0.2,280.94,0.0,280.94,0.005619,0.0,280.94,0.005619,280.94,0.005619,N,N,37.45849,127.058313,205047.433537,539786.809768,205271.040334,540010.416566
G50K_R0015_C0121,서초구,1165010900,내곡동,1.0,15,121,50000.0,5.0,40.0,24.0,16.0,12.0,4.0,36.0,40.0,8.0,8415.118,9306.43,10284.505,8415.118,0.168302,27372.73,8415.118,36.0,36.0,0.0,0.168302,11.0,2.2,0.0,0.0,11.0,2.2,2857.63,0.0,2857.63,0.057153,0.0,2857.63,0.057153,2857.63,0.057153,N,N,37.458483,127.07095,206165.467525,539786.809768,206389.074323,540010.416566
G50K_R0015_C0122,서초구,1165010900,내곡동,1.0,15,122,50000.0,5.0,8.0,1.0,7.0,1.0,6.0,2.0,8.0,1.6,299.81,359.0,463.915,299.81,0.005996,568.83,299.81,2.0,2.0,0.0,0.005996,1.0,0.2,0.0,0.0,1.0,0.2,209.83,0.0,209.83,0.004197,0.0,209.83,0.004197,209.83,0.004197,N,N,37.458481,127.073478,206389.074323,539786.809768,206612.681121,540010.416566
G50K_R0015_C0125,서초구,1165010900,내곡동,1.0,15,125,50000.0,5.0,11.0,4.0,7.0,1.0,6.0,5.0,11.0,2.2,931.32,2615.0,2678.04,931.32,0.018626,4276.08,931.32,5.0,5.0,0.0,0.018626,3.0,0.6,0.0,0.0,3.0,0.6,450.04,0.0,450.04,0.009001,0.0,450.04,0.009001,450.04,0.009001,N,N,37.458476,127.08106,207059.894716,539786.809768,207283.501514,540010.416566
G50K_R0015_C0126,서초구,1165010900,내곡동,1.0,15,126,50000.0,5.0,13.0,2.0,11.0,0.0,11.0,2.0,13.0,2.6,427.11,3394.0,3394.0,427.11,0.008542,3724.0,427.11,2.0,2.0,0.0,0.008542,1.0,0.2,0.0,0.0,1.0,0.2,229.51,0.0,229.51,0.00459,0.0,229.51,0.00459,229.51,0.00459,N,N,37.458474,127.083587,207283.501514,539786.809768,207507.108312,540010.416566
G50K_R0016_C0088,서초구,1165010100,방배동,1.0,16,88,50000.0,5.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,0.8,756.96,648295.0,648295.0,756.96,0.015139,648295.0,756.96,4.0,4.0,0.0,0.015139,1.0,0.2,0.0,0.0,1.0,0.2,235.2,0.0,235.2,0.004704,0.0,235.2,0.004704,235.2,0.004704,N,N,37.460518,126.987547,198786.4432,540010.416566,199010.049997,540234.023364
G50K_R0016_C0100,서초구,1165010300,우면동,1.0,16,100,50000.0,5.0,23.0,10.0,13.0,2.0,11.0,12.0,23.0,4.6,2139.23,4641.0,4768.75,2139.23,0.042785,8529.5,2139.23,12.0,12.0,0.0,0.042785,4.0,0.8,0.0,0.0,4.0,0.8,598.73,0.0,598.73,0.011975,0.0,598.73,0.011975,598.73,0.011975,N,N,37.460517,127.017876,201469.724773,540010.416566,201693.33157,540234.023364
G50K_R0016_C0112,서초구,1165011000,염곡동,1.0,16,112,50000.0,5.0,84.0,0.0,84.0,1.0,83.0,1.0,84.0,16.8,21.42,0.0,21.42,21.42,0.000428,21.42,21.42,1.0,1.0,0.0,0.000428,1.0,0.2,0.0,0.0,1.0,0.2,21.42,0.0,21.42,0.000428,0.0,21.42,0.000428,21.42,0.000428,N,N,37.460509,127.048205,204153.006346,540010.416566,204376.613143,540234.023364
G50K_R0016_C0121,서초구,1165010900,내곡동,1.0,16,121,50000.0,5.0,22.0,2.0,20.0,0.0,20.0,2.0,22.0,4.4,316.66,951.05,951.05,316.66,0.006333,1509.05,316.66,2.0,2.0,0.0,0.006333,1.0,0.2,0.0,0.0,1.0,0.2,196.56,0.0,196.56,0.003931,0.0,196.56,0.003931,196.56,0.003931,N,N,37.460497,127.070952,206165.467525,540010.416566,206389.074323,540234.023364
G50K_R0016_C0122,서초구,1165010900,내곡동,1.0,16,122,50000.0,5.0,23.0,14.0,9.0,3.0,6.0,17.0,23.0,4.6,4483.57,5248.0,5443.49,4483.57,0.089671,14518.98,4483.57,17.0,17.0,0.0,0.089671,3.0,0.6,0.0,0.0,3.0,0.6,1119.16,0.0,1119.16,0.022383,0.0,1119.16,0.022383,1119.16,0.022383,N,N,37.460496,127.073479,206389.074323,540010.416566,206612.681121,540234.023364
G50K_R0016_C0128,서초구,1165010900,내곡동,1.0,16,128,50000.0,5.0,81.0,0.0,81.0,10.0,71.0,10.0,81.0,16.2,1004.49,0.0,611.925,1004.49,0.02009,1004.49,1004.49,10.0,10.0,0.0,0.02009,1.0,0.2,0.0,0.0,1.0,0.2,166.32,0.0,166.32,0.003326,0.0,166.32,0.003326,166.32,0.003326,N,N,37.460485,127.088644,207730.71511,540010.416566,207954.321907,540234.023364
G50K_R0017_C0088,서초구,1165010100,방배동,1.0,17,88,50000.0,5.0,9.0,3.0,6.0,3.0,3.0,6.0,9.0,1.8,1608.16,6534.0,7006.68,1608.16,0.032163,16221.95,1608.16,6.0,6.0,0.0,0.032163,1.0,0.2,0.0,0.0,1.0,0.2,547.41,0.0,547.41,0.010948,0.0,547.41,0.010948,547.41,0.010948,N,N,37.462533,126.987547,198786.4432,540234.023364,199010.049997,540457.630162
G50K_R0017_C0089,서초구,1165010100,방배동,1.0,17,89,50000.0,5.0,17.0,9.0,8.0,0.0,8.0,9.0,17.0,3.4,9968.59,1511245.0,1511245.0,9968.59,0.199372,2382545.0,9968.59,9.0,9.0,0.0,0.199372,4.0,0.8,0.0,0.0,4.0,0.8,8995.08,0.0,8995.08,0.179902,0.0,8995.08,0.179902,8995.08,0.179902,N,N,37.462533,126.990074,199010.049997,540234.023364,199233.656795,540457.630162
G50K_R0017_C0090,서초구,1165010100,방배동,1.0,17,90,50000.0,5.0,6.0,2.0,4.0,0.0,4.0,2.0,6.0,1.2,3589.72,217085.0,217085.0,3589.72,0.071794,872780.0,3589.72,2.0,2.0,0.0,0.071794,1.0,0.2,0.0,0.0,1.0,0.2,3204.12,0.0,3204.12,0.064082,0.0,3204.12,0.064082,3204.12,0.064082,N,N,37.462533,126.992602,199233.656795,540234.023364,199457.263593,540457.630162
