radius_m,matched_count,unmatched_count,matched_rate,mean_fire_count,median_fire_count
25,990,3256,0.23316062176165803,0.326189354686764,0.0
26,1055,3191,0.248469147432878,0.355864342910975,0.0
27,1122,3124,0.26424870466321243,0.38389072067828545,0.0
28,1172,3074,0.27602449364107395,0.41026848798869525,0.0
29,1223,3023,0.2880357983984927,0.43570419218087614,0.0
30,1294,2952,0.30475741874705603,0.467263306641545,0.0
31,1352,2894,0.3184173339613754,0.500942063118229,0.0
32,1404,2842,0.3306641544983514,0.5322656617993405,0.0
33,1469,2777,0.34597268016957133,0.5690061234102685,0.0
34,1532,2714,0.3608101742816769,0.6015073009891663,0.0
35,1599,2647,0.3765897315120113,0.6439001413094677,0.0
36,1666,2580,0.3923692887423457,0.6825247291568535,0.0
37,1715,2531,0.40390956194065003,0.7140838436175224,0.0
38,1782,2464,0.41968911917098445,0.7543570419218087,0.0
39,1833,2413,0.4317004239284032,0.7943947244465379,0.0
40,1891,2355,0.44536033914272255,0.8339613754121527,0.0
41,1948,2298,0.4587847385774847,0.8768252472915685,0.0
42,2013,2233,0.4740932642487047,0.9241639189825719,0.0
43,2063,2183,0.4858690532265662,0.9679698539802166,0.0
44,2114,2132,0.49788035798398494,1.0120113047574189,0.0
45,2164,2082,0.5096561469618465,1.0614696184644372,1.0
46,2216,2030,0.5219029674988224,1.1102213848327838,1.0
47,2252,1994,0.5303815355628827,1.1549693829486576,1.0
48,2301,1945,0.541921808761187,1.202543570419218,1.0
49,2347,1899,0.5527555346208196,1.2479981158737636,1.0
50,2405,1841,0.5664154498351389,1.306877060763071,1.0
51,2449,1797,0.5767781441356571,1.3612812058407913,1.0
52,2484,1762,0.5850211964201601,1.407913330193123,1.0
53,2529,1717,0.5956194065002355,1.460197833254828,1.0
54,2568,1678,0.6048045219029675,1.5108337258596325,1.0
55,2625,1621,0.6182289213377297,1.569477154969383,1.0
56,2664,1582,0.6274140367404616,1.6271785209609044,1.0
57,2699,1547,0.6356570890249646,1.6879415920866698,1.0
58,2737,1509,0.6446066886481394,1.7487046632124352,1.0
59,2774,1472,0.6533207724917569,1.8052284503061704,1.0
60,2803,1443,0.6601507300989167,1.865049458313707,1.0
61,2845,1401,0.6700423928403203,1.929345266132831,1.0
62,2878,1368,0.6778144135657089,1.9974093264248705,1.0
63,2902,1344,0.6834667922750824,2.0546396608572772,1.0
64,2934,1312,0.6910032972209138,2.120819594912859,1.0
65,2972,1274,0.6999528968440886,2.178049929345266,2.0
66,2993,1253,0.7048987282147904,2.2439943476212907,2.0
67,3026,1220,0.712670748940179,2.31205840791333,2.0
68,3049,1197,0.7180876118699953,2.377296278850683,2.0
69,3079,1167,0.7251530852567122,2.4484220442769664,2.0
70,3105,1141,0.7312764955252002,2.523551577955723,2.0
71,3132,1114,0.7376354215732454,2.5944418276024495,2.0
72,3159,1087,0.7439943476212906,2.6679227508243053,2.0
73,3195,1051,0.7524729156853509,2.741403674046161,2.0
74,3218,1028,0.7578897786151673,2.807583608101743,2.0
75,3237,1009,0.7623645784267546,2.8888365520489874,2.0
