model,n_train,n_test,mae_thousand_krw,mae_million_krw,r2_log,r2_raw
base_only,7655,2552,2910.8223260129184,2.9108223260129185,0.001159899787799623,-0.01716862330993907
with_interactions,7655,2552,2910.8849789262426,2.9108849789262425,0.0006430080553393447,-0.01716614842220765
