feature,coefficient
주변건물수,29.0626342775211
집중도,3.3265762631104425
단속위험도,-256.8914338950753
구조노후도,-662.2202337571338
도로폭위험도,-2469.05721701444
총층수,149.23297939521672
시설규모/연면적,0.004078003460980639
intercept,3521.5010282669905
