iter	MultiClass
0	1.044269163
1	0.9854050961
2	0.9358068137
3	0.8854315501
4	0.842971119
5	0.8079630208
6	0.766738632
7	0.7316317192
8	0.7004161455
9	0.6724067741
10	0.6442857982
11	0.6189308962
12	0.5965731213
13	0.574310768
14	0.5586239055
15	0.5381775059
16	0.5183997519
17	0.5022209344
18	0.4828418524
19	0.4681125388
20	0.4509981612
21	0.4362546297
22	0.4229356995
23	0.4097031623
24	0.3986370841
25	0.3840900808
26	0.37422123
27	0.3633431991
28	0.3546871647
29	0.3456336053
30	0.3357277061
31	0.3268404038
32	0.3184373061
33	0.3095194822
34	0.3012132567
35	0.2937872751
36	0.2873961104
37	0.2806018419
38	0.2741709957
39	0.2679488808
40	0.2610165095
41	0.2550228356
42	0.2494925801
43	0.2442867696
44	0.2383013177
45	0.2338119227
46	0.2293935438
47	0.2245125
48	0.2196299779
49	0.2151227951
50	0.2100352491
51	0.2057822657
52	0.2014417834
53	0.1974806854
54	0.1935498696
55	0.190102563
56	0.1860089515
57	0.1830905466
58	0.1779646074
59	0.1750746881
60	0.1713297688
61	0.1684156728
62	0.1648211486
63	0.1623528116
64	0.1601264665
65	0.1576856292
66	0.1543813611
67	0.1514965128
68	0.1486343351
69	0.1465257335
70	0.1442109353
71	0.1418073488
72	0.1394610568
73	0.1373452095
74	0.1351274824
75	0.1333604428
76	0.1313315901
77	0.1296313782
78	0.1274876629
79	0.125640622
80	0.1239498533
81	0.122149568
82	0.1208060146
83	0.1184661589
84	0.1170827023
85	0.1154049935
86	0.1138476845
87	0.1125849826
88	0.1111821458
89	0.1091409147
90	0.1079886807
91	0.10670449
92	0.1056058878
93	0.1042428758
94	0.1028490721
95	0.1013998838
96	0.1001275003
97	0.09893438008
98	0.09774542412
99	0.09672132879
100	0.09536056424
101	0.09440258637
102	0.09322281558
103	0.09204193702
104	0.09104990949
105	0.09004475392
106	0.08898616168
107	0.08762911602
108	0.08669066405
109	0.08562136803
110	0.08476039181
111	0.08376288334
112	0.08252648154
113	0.08148906338
114	0.08084133911
115	0.08002436883
116	0.07923950219
117	0.07850590023
118	0.07750949129
119	0.07645924265
120	0.07553191635
121	0.0748630857
122	0.07383478922
123	0.07330248313
124	0.07253560644
125	0.07187495521
126	0.07097582628
127	0.07012507452
128	0.06934193017
129	0.06861697014
130	0.0678261101
131	0.06719113562
132	0.06625265261
133	0.06561318684
134	0.06486554382
135	0.06394673238
136	0.06343056768
137	0.06293635862
138	0.06228379422
139	0.06176637049
140	0.06114889911
141	0.06065379484
142	0.06018175736
143	0.05974068871
144	0.05920775638
145	0.05850291433
146	0.05795559394
147	0.05743909071
148	0.05700142912
149	0.05662247853
150	0.05618124402
151	0.05556672772
152	0.05517012875
153	0.05465359204
154	0.05420350259
155	0.05371803049
156	0.05327996648
157	0.05278828073
158	0.05233911236
159	0.05169428977
160	0.05129177629
161	0.05091335441
162	0.05044413548
163	0.04991071553
164	0.04946620297
165	0.04920503679
166	0.04881701677
167	0.04841667496
168	0.04805237315
169	0.04751668477
170	0.04714945356
171	0.04681142604
172	0.04652881833
173	0.0459889858
174	0.04559843427
175	0.04536320335
176	0.04503702117
177	0.04477418174
178	0.04434233603
179	0.0440552955
180	0.04369364158
181	0.04347009835
182	0.04319029835
183	0.04288570625
184	0.04257919532
185	0.04232712708
186	0.04193110925
187	0.04168047532
188	0.04137468762
189	0.0411174864
190	0.04084274697
191	0.04059402127
192	0.04030253825
193	0.03977966097
194	0.0394529555
195	0.03919897912
196	0.03900755344
197	0.03878461083
198	0.03849948993
199	0.03824507421
200	0.03797990438
201	0.03780040412
202	0.03748436689
203	0.03728060315
204	0.03692620557
205	0.0367128208
206	0.03651857187
207	0.03624882258
208	0.03586117525
209	0.03565975532
210	0.03533342284
211	0.03492331206
212	0.03470001431
213	0.03449301276
214	0.0343210131
215	0.03412769111
216	0.03393897593
217	0.03371300161
218	0.03349707516
219	0.03331342854
220	0.0331434948
221	0.03300971887
222	0.03273047274
223	0.03249504318
224	0.03231959116
225	0.03211724586
226	0.03186081532
227	0.03168726339
228	0.03147079752
229	0.03125044622
230	0.03109011082
231	0.0309493241
232	0.03072856754
233	0.03050529468
234	0.0303717645
235	0.03019692828
236	0.03003804189
237	0.02983776896
238	0.02968227274
239	0.02951627306
240	0.02938047005
241	0.0292458575
242	0.02907845884
243	0.02893395636
244	0.02878623782
245	0.02866106973
246	0.02842524511
247	0.02828973845
248	0.02815523955
249	0.02802383723
250	0.0278893643
251	0.02773859008
252	0.02760589419
253	0.02744561854
254	0.02734480928
255	0.02716337461
256	0.02705335746
257	0.02694213291
258	0.02685649173
259	0.02672911906
260	0.02658670029
261	0.02651202081
262	0.02628479332
263	0.02615271929
264	0.0260426555
265	0.0259192889
266	0.02580646113
267	0.02568897185
268	0.02558516181
269	0.02546480129
270	0.02534384774
271	0.02526294164
272	0.02514986807
273	0.02504675432
274	0.02490823249
275	0.02478981479
276	0.02466339021
277	0.02456092459
278	0.02447588909
279	0.02438433672
280	0.02426058853
281	0.0241279847
282	0.02398113997
283	0.02382110138
284	0.02373445431
285	0.02360760452
286	0.02353585475
287	0.02337940502
288	0.02327841472
289	0.02314862456
290	0.0229771106
291	0.0228956726
292	0.02280783177
293	0.02272848405
294	0.02266710815
295	0.02259063625
296	0.02249307851
297	0.02240277224
298	0.02232022261
299	0.02221877137
