gu_key,dong_key,gwr_score,gwr_n,mgwr_score,mgwr_n
Jung-gu,을지로7가,28.621746465,2.0,35.56599746865036,2.0
Jung-gu,인현동,,,28.67038428373116,2.0
Jung-gu,장교동,16.07173597,2.0,,
Jung-gu,장충동,,,45.47870889406009,2.0
Jung-gu,저동,,,14.668325787135702,2.0
Jung-gu,주교동,30.76698564142857,7.0,26.58548259044474,3.0
Jung-gu,주자동,34.67678956,1.0,,
Jung-gu,중림동,32.60194477,7.0,30.880929713678963,3.0
Jung-gu,초동,27.92492876,2.0,28.66302968097612,1.0
Jung-gu,충무로1가,24.183364740000002,2.0,,
Jung-gu,충무로2가,25.732550606666667,6.0,37.15250047705151,1.0
Jung-gu,충무로3가,23.47482333,4.0,19.70412585774021,1.0
Jung-gu,충무로4가,28.901833498000002,5.0,27.320184478573545,1.0
Jung-gu,충무로5가,28.5642926775,4.0,26.51724753633212,1.0
Jung-gu,태평로1가,31.2195513,2.0,,
Jung-gu,태평로2가,27.09831392,1.0,26.01521400722202,1.0
Jung-gu,필동,40.54266019,4.0,,
Jung-gu,황학동,30.968342152666665,15.0,31.71329177027161,7.0
Jung-gu,회현동,,,27.3182530195036,1.0
Jung-gu,흥인동,27.55357155,1.0,,
Mapo-gu,공덕동,32.590110757333335,15.0,36.18090754986227,2.0
Mapo-gu,노고산동,30.484551654482757,29.0,26.445776782121694,4.0
Mapo-gu,당인동,31.927024949999996,5.0,,
Mapo-gu,대흥동,44.704010112000006,10.0,59.03807547876988,1.0
Mapo-gu,도화동,33.14635387047619,21.0,37.407488839475455,3.0
Mapo-gu,동교동,30.94101983508772,57.0,33.33941381581261,17.0
Mapo-gu,망원동,37.85197023653061,49.0,38.98640039219901,7.0
Mapo-gu,상수동,40.05217541333333,9.0,45.55683898149147,3.0
Mapo-gu,상암동,28.417657437142857,21.0,19.38268756409055,2.0
Mapo-gu,서교동,33.77397555935484,93.0,34.24465332080919,27.0
Mapo-gu,성산동,33.414798165294116,34.0,37.30655712026349,13.0
Mapo-gu,신공덕동,38.24298657,1.0,,
Mapo-gu,신수동,32.79553328857143,7.0,34.890294938877645,2.0
Mapo-gu,아현동,37.222003055,4.0,,
Mapo-gu,연남동,38.231298464848486,99.0,40.75953226250374,41.0
Mapo-gu,염리동,32.676694631,10.0,25.556910306701468,1.0
Mapo-gu,용강동,24.436011906666664,3.0,,
Mapo-gu,중동,35.413804819999996,2.0,,
Mapo-gu,창전동,34.63259427529412,17.0,,
