cluster_k2,구,동,hh_count,avg_fire_150m,avg_lisa_I
0,마포구,동교동,28,18.071428571428573,7.27195711978612
0,영등포구,영등포동,26,11.423076923076923,1.8961836018176934
0,강남구,역삼동,20,12.4,1.7496896232335952
1,마포구,연남동,75,15.08,4.285784118646267
1,마포구,서교동,57,14.87719298245614,3.91835747666885
1,마포구,동교동,55,15.254545454545454,5.494796403673033
