구,법정동코드,법정동명,면적_m2,면적_ha,전체건물수,전체연면적합계_m2,상가수,상가연면적합계_m2,상가입체화재하중_분자,숙박시설수,숙박연면적합계_m2,숙박입체화재하중_분자,복합입체화재하중_분자,상가수_per_ha,숙박시설수_per_ha,상가연면적_per_ha,숙박연면적_per_ha,상가_입체화재하중밀도,숙박_입체화재하중밀도,복합_입체화재하중밀도,상가숙박_개수,상가숙박_개수_per_ha
용산구,1117011000,청파동2가,224592.708295,22.459271,528,337161.602,126,42655.265,104150.715,7,1965.4,1965.4,106116.115,5.610155,0.311675,1899.227509,87.50952,0.463732,0.008751,0.472482,133,5.921831
용산구,1117011800,원효로4가,322007.929328,32.200793,286,226173.683,66,28677.283,65127.09,1,8819.56,8819.56,73946.65,2.049639,0.031055,890.57692,273.892634,0.202253,0.027389,0.229642,67,2.080694
영등포구,1156010100,영등포동,573735.867141,57.373587,819,666899.2935,152,228674.125,1247293.0,6,1711.33,1711.33,1249004.33,2.649303,0.104578,3985.703842,29.827837,2.173985,0.002983,2.176967,158,2.75388
용산구,1117011900,효창동,435997.446948,43.599745,811,381752.272,103,52701.335,120393.203,5,1832.4,1832.4,122225.603,2.362399,0.11468,1208.753294,42.027769,0.276133,0.004203,0.280336,108,2.477079
용산구,1117010100,후암동,868220.485714,86.822049,2322,675353.712,273,79969.195,149850.57,63,19226.795,19226.795,169077.365,3.144363,0.725622,921.070123,221.450603,0.172595,0.022145,0.19474,336,3.869985
마포구,1144012200,합정동,1750116.566386,175.011657,1967,1070672.1121,517,245266.37,494532.05,81,42411.13,42411.13,536943.18,2.954089,0.462826,1401.428766,242.333173,0.282571,0.024233,0.306804,598,3.416915
용산구,1117013000,이태원동,1441001.158962,144.100116,3523,1236618.337,797,285660.815,707795.275,128,103133.373,103133.373,810928.648,5.530877,0.888271,1982.377413,715.706385,0.491183,0.071571,0.562754,925,6.419148
용산구,1117012800,한강로3가,1187642.41617,118.764242,1439,1186087.175,259,495464.645,1866638.705,15,455739.47,455739.47,2322378.175,2.180791,0.126301,4171.833527,3837.345853,1.571718,0.383735,1.955452,274,2.307092
성동구,1120010900,금호동1가,534074.134091,53.407413,533,542250.15,91,50646.24,213144.19,2,631.16,631.16,213775.35,1.703883,0.037448,948.29981,11.817835,0.399091,0.001182,0.400273,93,1.741331
성동구,1120011500,성수동2가,2267637.493783,226.763749,3748,3044018.406,889,497818.554,989845.174,43,16126.35,16126.35,1005971.524,3.92038,0.189625,2195.318058,71.115203,0.436509,0.007112,0.443621,932,4.110004
송파구,1171011200,오금동,1650587.934653,165.058793,1689,1678709.463,381,280433.66,497278.2,5,2831.06,2831.06,500109.26,2.308268,0.030292,1698.992548,17.151828,0.301273,0.001715,0.302989,386,2.338561
송파구,1171011300,거여동,2359020.589013,235.902059,1569,1127852.987,248,182595.533,405173.928,5,18170.204,18170.204,423344.132,1.051284,0.021195,774.031112,77.024355,0.171755,0.007702,0.179458,253,1.072479
용산구,1117012900,이촌동,4082792.462479,408.279246,873,1650465.6581,100,80453.865,359805.7,8,40223.82,40223.82,400029.52,0.24493,0.019594,197.055975,98.520364,0.088127,0.009852,0.097979,108,0.264525
용산구,1117013600,보광동,714355.004722,71.4355,2699,539205.814,173,65830.334,153273.42,15,3466.23,3466.23,156739.65,2.421765,0.20998,921.535281,48.522513,0.214562,0.004852,0.219414,188,2.631745
용산구,1117013100,한남동,3027740.865228,302.774087,3621,2138260.8058,678,357432.42,2859430.075,20,18757.5,18757.5,2878187.575,2.239293,0.066056,1180.525137,61.952131,0.94441,0.006195,0.950606,698,2.305349
