구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적,최종_화재위험점수,cluster_k3,cluster
종로구,종로2가,서울YMCA관광호텔,1965,0.3564,13,15.4,0.6931471805599453,0.1851,0.55,37.56785597,126.98450169,198630.79614987536,452035.4127998096,0,관광숙박업,호텔,9,6.795705775173514,21.2412114625286,0,0
종로구,관훈동,호텔 썬비,2003,0.3349,8,50.0,0.7304542329727559,0.1308,0.08,37.57030354,126.9840039,198586.8649520342,452307.07189909474,0,관광숙박업,호텔,10,7.636269603379373,15.82111788156603,0,0
종로구,관훈동,나인트리 바이 파르나스 서울 인사동,2019,0.3135,14,71.4,0.4895482253187058,0.1079,0.12,37.57180204,126.98300804,198498.91829008472,452473.40342401474,1,관광숙박업,숙박시설,17,10.004960521466762,24.39068923389332,0,0
종로구,인의동,이스트 아뜰리에,1985,0.1408,3,0.0,0.0652912498144373,0.4289,0.08,37.57093161,126.99588429,199636.41105074776,452376.66804754216,2,외국인관광도시민박업,숙박시설,4,5.910688237080694,26.849401298165088,1,1
종로구,숭인동,U-STAY HOSTEL,1996,0.1894,3,0.0,1.8643198527313989,0.1408,0.18,37.56976898,127.01545561,201365.39658222973,452247.73397197865,2,관광숙박업,숙박시설,6,4.875197323201151,24.839997779177907,1,1
종로구,낙원동,목시 서울 인사동 호텔,2019,0.1735,21,66.7,1.7926362777015894,0.1079,0.85,37.56954746,126.98855583,198988.9834914257,452223.0971097793,0,관광숙박업,숙박시설,19,8.69483715865908,29.209970486165123,0,0
종로구,이화동,글루호텔,2019,0.3165,7,57.1,0.058188157683169,0.1079,0.04,37.57304815,127.00317208,200280.2191106077,452611.57618867216,1,관광숙박업,숙박시설,15,7.520234556474628,19.256213755638115,0,0
종로구,당주동,SOUNDS INN GWANGHWAMUN,1963,0.6236,5,0.0,0.035612071788877,0.4676,0.55,37.56859605,126.97474946,197769.2538927436,452117.7398351733,2,관광숙박업,"제1,2종근린생활시설",5,5.093750200806762,39.77099511028438,1,1
종로구,종로4가,진가,1967,0.3014,37,78.4,0.6931471805599453,0.1823,0.7,37.56787973,126.99879348,199893.4095846997,452037.9376605889,1,관광숙박업,"영업용, 관광숙박시설(호스텔)",5,5.0238805208462765,32.83612662611723,2,2
종로구,묘동,킴스텔코리아 종로점,1965,0.0898,31,67.7,0.698324068739479,0.4641,1.0,37.57078678,126.99068465,199177.0642537979,452360.62642953946,1,관광숙박업,"숙박시설, 근린생활시설",6,5.676753802268282,41.44688277749936,2,2
종로구,창신동,호스텔 메가 동대문역,1992,0.129,6,0.0,0.2810012094609484,0.1465,0.18,37.56790086,127.00943028,200833.1210247645,452040.3239614565,2,관광숙박업,근린생활시설,6,5.030437921392435,20.673846636390124,1,1
종로구,봉익동,포레스트 스테이 종로,2007,0.0858,11,81.8,0.3761947258080512,0.1251,0.08,37.57018563,126.99144197,199243.9612674128,452293.8994110669,1,관광숙박업,"근린생활시설,숙박시설",5,5.655991810819852,18.76454932292856,0,0
종로구,관철동,MOMENTO HOSTEL,1959,0.4182,4,0.0,0.6931471805599453,0.1937,0.12,37.56655742,126.98379997,198568.77759507968,451891.2993930125,1,관광숙박업,"근린생활시설,숙박시설",5,6.077642243349034,20.173018676589088,1,1
종로구,숭인동,더온재,1994,0.2715,9,33.3,0.7105211484959985,0.1436,0.85,37.57228397,127.02039051,201801.30040560765,452526.951782465,0,관광숙박업,"근린생활시설, 숙박시설",5,5.030437921392435,23.182879314615583,0,0
중구,남창동,케이팝 서울타워 호스텔,2014,0.2539,14,42.9,0.6931471805599453,0.115,0.55,37.55403706,126.97637629,197912.56921416588,450501.8264476872,0,관광숙박업,숙박시설(호스텔),5,6.192362489474872,19.63887987245417,0,0
종로구,창신동,247 HOSTEL SEOUL,1989,0.0918,5,20.0,2.290649742444773,0.1509,0.25,37.56817447,127.01314811,201161.56962693192,452070.73093311576,2,관광숙박업,숙박시설,5,5.568344503761097,27.88035713235003,1,1
종로구,관철동,찰나 호스텔,1975,0.4213,3,0.0,1.0608719606852626,0.1708,0.08,37.56664615,126.98332934,198527.2006409276,451901.1546558518,1,관광숙박업,숙박시설,7,4.653960350157523,18.96233950952074,1,1
종로구,종로2가,스테이울림,1972,0.4089,15,33.3,1.2794312155775294,0.1752,0.55,37.56718514,126.98358024,198549.37730385503,451960.9723364486,0,관광숙박업,숙박시설,8,4.653960350157523,22.920791257445707,0,0
종로구,종로5가,편안정 종로5가점,1967,0.3074,12,0.0,0.0130720815673527,0.1823,0.08,37.56810507,127.0045472,200401.72270368112,452062.9568032172,2,관광숙박업,숙박시설,7,4.5217885770490405,21.67559965524564,1,1
종로구,창신동,동대문 스테이가든,1959,0.1408,6,100.0,1.8129221675840912,0.4747,0.25,37.56946846,127.01349641,201192.3195598642,452214.35309,2,관광숙박업,숙박시설,2,5.424950017481403,41.45297090306909,2,2
종로구,종로5가,고유리(Goyu;re),1975,0.3379,5,0.0,0.0575238441381866,0.1708,0.08,37.56730221,127.0037223,200328.850384723,451973.845520203,2,관광숙박업,숙박시설,5,4.174387269895637,21.267979814339,1,1
