,AHP_weight,EWM_weight,weight_gap_EWM_minus_AHP
소방위험도_점수,0.33951727551011035,0.031169789547990375,-0.30834748596211997
도로폭위험도,0.17430865484530167,0.03621552791273957,-0.1380931269325621
구조노후도,0.17430865484530167,0.09191503189368631,-0.08239362295161536
단속위험도,0.07806362622414004,0.07945118020684541,0.0013875539827053751
주변건물수,0.07806362622414004,0.07431020923262649,-0.0037534169915135474
집중도,0.07806362622414004,0.05361484410931188,-0.024448782114828156
건물나이_2026,0.03777237868667344,0.025704202111140776,-0.012068176575532667
총층수,0.01995107872009641,0.10219839150920476,0.08224731278910835
연면적,0.01995107872009641,0.5054208234764545,0.48546974475635807
