model_key,model_label,target_scale,actual_dataset,n_rows,n_train,n_test,test_mae_thousand_krw,test_mae_million_krw,test_rmse_thousand_krw,test_r2_raw,test_r2_log_diagnostic,cv_mae_model_scale_mean,cv_mae_model_scale_std,cv_r2_model_scale_mean,cv_r2_model_scale_std
ridge_poly_log,5. log1p(y) + Ridge 다항회귀,log,fire records with nearest lodging <= 44m,2533,2026,507,3164.492974501852,3.164492974501852,19812.520154861162,-0.02428758108629392,-0.0010050469987246125,1.8749591762443854,0.09938163877201994,-0.004383913300630193,0.004752246763183007
knn_log_distance,"K-NN log1p(y) (k=10, distance)",log,fire records with nearest lodging <= 44m,2533,2026,507,3219.879518203112,3.219879518203112,19809.356357017223,-0.0239604768035806,-0.12728502983805146,2.0323490860163758,0.08864796347091294,-0.17446386309611167,0.038749772886187535
ridge_poly_raw,4. Ridge 정규화 다항회귀,raw,fire records with nearest lodging <= 44m,2533,2026,507,36114.89180539612,36.11489180539612,53657.50302293003,-6.512826888160323,-4.940941828630739,73325.86201827008,54298.06910006141,-33.460394478008794,29.241204534729665
poly2_raw,2. 다중 2차 다항회귀,raw,fire records with nearest lodging <= 44m,2533,2026,507,176344.8511231569,176.3448511231569,461389.06714582734,-554.4910466226811,-6.265614547705956,396798.125097337,115677.6591860092,-5537.644425683855,5402.591228899557
interaction_raw,3. 상호작용항 회귀,raw,fire records with nearest lodging <= 44m,2533,2026,507,179544.12557817902,179.54412557817903,453413.3727612857,-535.4523031216048,-6.354741921047181,387084.5474854672,107913.08724449683,-5068.361049830205,4826.20994659777
