구,동,숙소명,승인연도,소방위험도_점수,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,x_5181,y_5181,최근접_소화용수_거리등급,업종,건물용도명,총층수,연면적
종로구,봉익동,포레스트 스테이 종로,2007,0.0858,11,81.8,0.3761947258080512,0.1251,0.08,37.57018563,126.99144197,199243.96126741276,452293.8994110669,1,관광숙박업,"근린생활시설,숙박시설",5,285.0
종로구,관철동,MOMENTO HOSTEL,1959,0.4182,4,0.0,0.6931471805599453,0.1937,0.12,37.56655742,126.98379997,198568.77759507968,451891.2993930125,1,관광숙박업,"근린생활시설,숙박시설",5,435.0
종로구,숭인동,더온재,1994,0.2715,9,33.3,0.7105211484959985,0.1436,0.85,37.57228397,127.02039051,201801.30040560765,452526.951782465,0,관광숙박업,"근린생활시설, 숙박시설",5,152.0
중구,남창동,케이팝 서울타워 호스텔,2014,0.2539,14,42.9,0.6931471805599453,0.115,0.55,37.55403706,126.97637629,197912.56921416588,450501.8264476872,0,관광숙박업,숙박시설(호스텔),5,488.0
종로구,창신동,247 HOSTEL SEOUL,1989,0.0918,5,20.0,2.290649742444773,0.1509,0.25,37.56817447,127.01314811,201161.56962693192,452070.73093311576,2,관광숙박업,숙박시설,5,261.0
종로구,관철동,찰나 호스텔,1975,0.4213,3,0.0,1.0608719606852626,0.1708,0.08,37.56664615,126.98332934,198527.2006409276,451901.1546558518,1,관광숙박업,숙박시설,7,104.0
종로구,종로2가,스테이울림,1972,0.4089,15,33.3,1.2794312155775294,0.1752,0.55,37.56718514,126.98358024,198549.37730385503,451960.9723364486,0,관광숙박업,숙박시설,8,104.0
종로구,종로5가,편안정 종로5가점,1967,0.3074,12,0.0,0.0130720815673527,0.1823,0.08,37.56810507,127.0045472,200401.72270368112,452062.9568032172,2,관광숙박업,숙박시설,7,91.0
종로구,창신동,동대문 스테이가든,1959,0.1408,6,100.0,1.8129221675840912,0.4747,0.25,37.56946846,127.01349641,201192.3195598642,452214.35309,2,관광숙박업,숙박시설,2,226.0
종로구,종로5가,고유리(Goyu;re),1975,0.3379,5,0.0,0.0575238441381866,0.1708,0.08,37.56730221,127.0037223,200328.850384723,451973.845520203,2,관광숙박업,숙박시설,5,64.0
종로구,충신동,온코리아 스테이,1994,0.3379,8,75.0,0.8026314134016336,0.1436,1.0,37.57265524,127.00336668,200297.4114876193,452567.9683308567,2,관광숙박업,숙박시설,6,299.0
종로구,낙원동,하프레스트 호스텔,2000,0.2029,16,75.0,1.5746285077682394,0.5361,0.08,37.56953983,126.98762245,198906.52544781583,452222.2607203672,0,관광숙박업,숙박시설,7,554.0
종로구,숭인동,엔조이스테이 호스텔,2024,0.2984,48,66.7,1.1337273076890122,0.1011,0.7,37.57029351,127.01912285,201689.36010745016,452306.0103027669,0,관광숙박업,숙박시설,5,596.0
종로구,창신동,이온호텔,2022,0.1457,3,66.7,1.6502405363066972,0.1036,0.18,37.56975326,127.01196959,201057.4309710828,452245.9442948698,2,관광숙박업,숙박시설,8,963.0
종로구,관철동,오아시스 트레블러스 종로,1969,0.3074,1,0.0,1.652923024373839,0.1794,0.55,37.56702341,126.98663866,198819.5744068622,451942.9793846741,2,관광숙박업,"점포, 노래연습장, 일반음식점",7,183.0
종로구,관철동,스테이 마루 종로,1965,0.3811,3,0.0,0.3677247801253173,0.4641,0.55,37.56669767,126.98479778,198656.9335324272,451906.8507728739,2,관광숙박업,숙박시설,8,234.0
