variable,coef_standardized_log1p_damage,direction,p_value_HC3,significant_0_05,abs_coef
주변건물수,-0.1299951126734337,negative,5.538915464156439e-06,True,0.1299951126734337
구조노후도,-0.127290231195425,negative,3.961880427649004e-05,True,0.127290231195425
승인연도,-0.1176574480355022,negative,0.0002755431609134,True,0.1176574480355022
총층수,0.0821019070314261,positive,0.0041051571755143,True,0.0821019070314261
시설규모/연면적,-0.0393889790129947,negative,0.1782501503177109,False,0.0393889790129947
집중도,-0.0230895321300993,negative,0.3983114811617255,False,0.0230895321300993
nearest_lodging_distance_m,0.0188553567839872,positive,0.4273425599056791,False,0.0188553567839872
도로폭위험도,-0.0153062829093896,negative,0.5695263501200414,False,0.0153062829093896
단속위험도,0.0053044196996094,positive,0.8206824666018933,False,0.0053044196996094
