term,coef,p_value,significant_0_05
const,-2.9577468223927554,1.796729425214933e-294,True
fire_risk,0.1417822422929798,0.23346962143442773,False
nearby_buildings,0.26331109390315344,0.00010082723191635835,True
concentration,-0.01959369462826863,0.8021877362542451,False
enforcement_risk,0.31080863929494235,0.001670446919688015,True
structure_aging,-0.5342921342341244,0.0006324964473562201,True
road_width_risk,0.32274664119726054,0.07254394374108446,False
aging_x_road,0.27310020938559254,0.15648941634566674,False
enforce_x_road,0.0026208124755848377,0.981652000249205,False
fire_x_road,-1.1049180497541045,3.261476638963884e-08,True
