feature,coefficient
주변건물수,-3248.306114221144
집중도,-103.95505626505998
단속위험도,90906.38262260225
구조노후도,167826.87927600718
도로폭위험도,-95493.36956399702
총층수,-3540.684897658735
시설규모/연면적,0.048452173395062914
intercept,66914.63875413481
