기대피해액_순위,구,동,시설명,예상_화재발생확률,조건부_예상피해액_백만원,기대피해액_백만원,소방위험도,주변건물수,집중도,단속위험도,구조노후도,도로폭위험도,위도,경도,반경100m_화재수
71,강남구,역삼동,더호텔(THE HOTEL)1997,0.7552681939166095,0.1769700770146046,0.1336598704441037,0.2539,7,28.6,3.3511664480565906,0.1337,0.55,37.4931041,127.02919087,1
72,종로구,누상동,원라이트,0.6318369549498214,0.2115050596936769,0.133636712873333,0.4244,3,0.0,1.9389171135643428,0.1337,0.25,37.57673475,126.96525148,0
73,송파구,가락동,Atelier7419,0.620648121443627,0.2148669343062046,0.1333567591374971,0.5538,9,0.0,1.7723198123537711,0.1509,0.25,37.49376392,127.1200868,0
74,영등포구,대림동,북스테이 북적북적,0.7509250180605502,0.1772140146213678,0.1330744371301332,0.3935,12,75.0,1.8236315801481555,0.1036,0.0,37.48987675,126.90697731,0
75,강남구,논현동,클로버스테이,0.5400047533669549,0.2461546708143239,0.1329246923032129,0.702,1,0.0,0.715072541188911,0.1322,0.08,37.50534447,127.02785958,1
76,종로구,관철동,부티크호텔케이(BHK 01),0.6318893894035919,0.2103519738949212,0.1329191803443021,0.3044,0,0.0,1.4853852637641214,0.1237,0.04,37.56652738,126.9874728,0
77,영등포구,영등포동,코코,0.7487956065965117,0.1769144430529355,0.1324727577015069,0.0818,9,0.0,2.2542403741535657,0.1637,0.18,37.51789339,126.90273125,0
78,강남구,역삼동,서울스테이2,0.6210166018203781,0.212490074363925,0.1319598639020441,0.3349,0,0.0,1.4080558529014031,0.1322,0.04,37.50389942,127.0423471,1
79,강서구,등촌동,HOmestay in Seoul,0.7489652961465662,0.1758713266823153,0.1317215202723098,0.2223,11,36.4,2.1090902356019656,0.1422,0.04,37.55889289,126.84032804,0
80,송파구,문정동,체커하우스,0.5024920749298195,0.2618088418451099,0.1315568681737222,0.8333,0,0.0,0.2358701058534324,0.1494,0.04,37.48242591,127.12407389,0
