variable,gwr_dongs,mgwr_dongs,overlap_dongs,rank_corr,mean_abs_rank_gap
소방위험,233,100,88,-0.07199755989229377,33.667266315189515
주변건물수,233,100,88,-0.06656298157486583,34.620262182958115
집중도,233,100,88,0.04970494121402062,31.931907238529494
노후도,233,100,88,0.12129978156466487,31.322848389854656
도로폭위험,233,100,88,0.14385620987877346,29.616788971216867
