,주변건물수_50m,주변_사용승인일유효건물수_50m,주변_사용승인일유효률_50m,주변_노후건물수_30년이상_50m,주변_노후건물비율_30년이상_50m,주변_초노후건물수_50년이상_50m,주변_초노후건물비율_50년이상_50m,주변_평균건물연한_50m,주변_중위건물연한_50m,주변_최대건물연한_50m,주변_평균사용승인연도_50m,주변_연면적합계_m2_50m,주변_노후연면적비율_30년이상_50m,주변_초노후연면적비율_50년이상_50m,최근접_노후건물거리_30년이상_m_50m,최근접_초노후건물거리_50년이상_m_50m,주변건물수_100m,주변_사용승인일유효건물수_100m,주변_사용승인일유효률_100m,주변_노후건물수_30년이상_100m,주변_노후건물비율_30년이상_100m,주변_초노후건물수_50년이상_100m,주변_초노후건물비율_50년이상_100m,주변_평균건물연한_100m,주변_중위건물연한_100m,주변_최대건물연한_100m,주변_평균사용승인연도_100m,주변_연면적합계_m2_100m,주변_노후연면적비율_30년이상_100m,주변_초노후연면적비율_50년이상_100m,최근접_노후건물거리_30년이상_m_100m,최근접_초노후건물거리_50년이상_m_100m
주변건물수_50m,1.0,0.9131354880567121,0.1373837852754004,0.8953621721205252,0.2732094564416625,0.7199837634720171,0.23766315158683884,0.2949923818182243,0.24301431881937177,0.576660771984334,-0.2950131454872997,-0.009643671401475049,0.15836981896801425,0.1135163265048141,-0.4935941824125584,-0.3839819482371459,0.931638732490287,0.8683722253603862,0.21289722033154884,0.8618507181935862,0.2614352556049985,0.6878003144522886,0.16931961460536707,0.2244993724356067,0.15801050544801468,0.4618306625912182,-0.22486824005260497,-0.009893610613203804,0.13572650928911462,0.06460495468808551,-0.5584127020117563,-0.5508727653246142
주변_사용승인일유효건물수_50m,0.9131354880567121,1.0,0.4200413848443936,0.9185651361624111,0.1792273002354697,0.6051327786817108,0.05520360917950309,0.11285455027406734,0.07152697599853797,0.4565542359661531,-0.11304568312809189,-0.0035255507493564104,0.08697175512795077,-0.02739821050141074,-0.5459483213984073,-0.325152875146122,0.8564854761646106,0.9363173506160082,0.45536001956727973,0.8684550500361427,0.15979513725665734,0.5582183798651101,-0.003441722479260711,0.04621867143685622,-0.000523860636669771,0.3245768112642661,-0.04675561983864826,-0.0036101104700389116,0.08207412160149408,-0.043482684272619566,-0.6012065845725582,-0.5209374747893029
주변_사용승인일유효률_50m,0.1373837852754004,0.4200413848443936,1.0,0.2661892882353759,-0.17863906941900562,0.007114361509320653,-0.34860360130060614,-0.34799853392711455,-0.32706091062801945,-0.13926340568379564,0.34785185668641705,0.027690671845149176,-0.17776112752539427,-0.3095307729760806,-0.22210839506718424,0.037125712241702157,0.14954687697255795,0.39439082513657925,0.81483092076623,0.24706300788118182,-0.165123718614476,-0.021795516245651292,-0.3283214604678693,-0.3306194389506162,-0.3056695949052304,-0.15871703123904837,0.33052636471534835,0.03670914501711932,-0.10412739799432816,-0.26364221511711755,-0.41824045047834935,-0.15882829681653413
주변_노후건물수_30년이상_50m,0.8953621721205252,0.9185651361624111,0.2661892882353759,1.0,0.43089697741602984,0.73165202493657,0.23329116119540574,0.3486647105800076,0.3060559072877447,0.55661288949439,-0.348825320375707,-0.015616148254042509,0.29977620739910715,0.1118850049966965,-0.5296065408685166,-0.37221612297887113,0.8417543113467065,0.8605531635806121,0.3000219458693117,0.9226376393205925,0.3706965827848892,0.6775913656192414,0.16157315247746654,0.25294137626739044,0.19954255435874166,0.43582898745914156,-0.25336428897705127,-0.01711052847839459,0.22747863589275866,0.07060683067990804,-0.563741730816255,-0.527624895898195
주변_노후건물비율_30년이상_50m,0.2732094564416625,0.1792273002354697,-0.17863906941900562,0.43089697741602984,1.0,0.41284635938284503,0.5450084120323121,0.7908418019526186,0.7679858497892447,0.5832501456265755,-0.7915169673759849,-0.03420898168085759,0.811483499215979,0.4269639766036824,-0.14919206891003292,-0.2079158059138298,0.2842082821042422,0.19460422924316087,-0.1323547919607095,0.39344010577438604,0.7986180604941726,0.4151920493559617,0.46805233496126725,0.6288706772083177,0.6127455809307164,0.4571435814618276,-0.6293366795402208,-0.040525271928203335,0.6235261544745293,0.3769769695463376,-0.5035202123076198,-0.39573415332048145
주변_초노후건물수_50년이상_50m,0.7199837634720171,0.6051327786817108,0.007114361509320653,0.73165202493657,0.41284635938284503,1.0,0.6428807265478337,0.6201176416847513,0.5693975668379943,0.6884701459788017,-0.6199768199058528,-0.017446047636789568,0.2545038278175985,0.4068028269843238,-0.33554902468624187,-0.5262642461599052,0.6650636134944621,0.5558436465638839,0.02150047600168193,0.6769380529281765,0.407465702812722,0.8936686661676018,0.5257269733008121,0.5316526113874264,0.46175038221691916,0.5891520940580612,-0.5316676407819496,-0.0145737368610832,0.20271002599963966,0.30241635079200735,-0.3780634940377432,-0.5917158379127111
주변_초노후건물비율_50년이상_50m,0.23766315158683884,0.05520360917950309,-0.34860360130060614,0.23329116119540574,0.5450084120323121,0.6428807265478337,1.0,0.8636877956627733,0.824083912472718,0.6793036910513007,-0.8637772444183155,-0.027563826222074,0.3788825508762749,0.784724855630066,-0.04629422032604952,-0.26041807804401657,0.24168200557788533,0.060417408875257685,-0.3554036836209628,0.23434960578918584,0.5453951715530071,0.6185608365144301,0.8380251116357952,0.7783289425703245,0.7343225445604482,0.6174301846224948,-0.7782409253090803,-0.028332187730028255,0.2978376312340839,0.6563338185958019,-0.1913469931060627,-0.530084267411343
주변_평균건물연한_50m,0.2949923818182243,0.11285455027406734,-0.34799853392711455,0.3486647105800076,0.7908418019526186,0.6201176416847513,0.8636877956627733,1.0,0.9503473474897239,0.7639881262713044,-0.9999301138548145,-0.033282152959592845,0.6034161676284087,0.6659972701481773,-0.08640053277465737,-0.26290463595163305,0.3009431859807717,0.12333735212956999,-0.32952519694194987,0.33613040278816053,0.7154869292694528,0.617569770498364,0.7597479218012441,0.8553812022166323,0.8042321692071417,0.652475802145344,-0.8553361813234891,-0.03495343294662732,0.4787694144403368,0.5826160261507629,-0.3212087761738825,-0.4751568687467658
주변_중위건물연한_50m,0.24301431881937177,0.07152697599853797,-0.32706091062801945,0.3060559072877447,0.7679858497892447,0.5693975668379943,0.824083912472718,0.9503473474897239,1.0,0.6494614550671188,-0.9502811228372329,-0.03337823467023622,0.5871903491586546,0.6475943194145096,-0.0988867436775414,-0.24404178213000605,0.24232049281361207,0.07927443481887833,-0.305131481092895,0.2859304106237073,0.6818236504764442,0.5546394374895248,0.7146187361268671,0.8027749241844481,0.7943585931258403,0.5593161993354673,-0.8027486563862358,-0.03259225135378087,0.45847625436240064,0.5553308338508022,-0.2976392634471217,-0.40665223756003327
주변_최대건물연한_50m,0.576660771984334,0.4565542359661531,-0.13926340568379564,0.55661288949439,0.5832501456265755,0.6884701459788017,0.6793036910513007,0.7639881262713044,0.6494614550671188,1.0,-0.7637827457134863,-0.031778793495707953,0.3582736521901744,0.432646672889246,-0.2786218094426832,-0.33483638351150596,0.5918000929372709,0.4734339561487702,-0.0910611794844783,0.5810780581515448,0.5947786495724782,0.7178674638132498,0.6181725552191474,0.6897127999221746,0.5907505640080706,0.8025492795577709,-0.6896411001847698,-0.04110997217862456,0.3431064427879162,0.4288339370468544,-0.5028977823156787,-0.663848370624681
