구,위도,경도,위험점수_AHP,소방접근성_점수,노후도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,주변건물수_50m,주변_사용승인일유효건물수_50m,주변_사용승인일유효률_50m,주변_노후건물수_30년이상_50m,주변_노후건물비율_30년이상_50m,주변_초노후건물수_50년이상_50m,주변_초노후건물비율_50년이상_50m,주변_평균건물연한_50m,주변_중위건물연한_50m,주변_최대건물연한_50m,주변_평균사용승인연도_50m,주변_연면적합계_m2_50m,주변_노후연면적비율_30년이상_50m,주변_초노후연면적비율_50년이상_50m,최근접_노후건물거리_30년이상_m_50m,최근접_초노후건물거리_50년이상_m_50m,주변건물수_100m,주변_사용승인일유효건물수_100m,주변_사용승인일유효률_100m,주변_노후건물수_30년이상_100m,주변_노후건물비율_30년이상_100m,주변_초노후건물수_50년이상_100m,주변_초노후건물비율_50년이상_100m,주변_평균건물연한_100m,주변_중위건물연한_100m,주변_최대건물연한_100m,주변_평균사용승인연도_100m,주변_연면적합계_m2_100m,주변_노후연면적비율_30년이상_100m,주변_초노후연면적비율_50년이상_100m,최근접_노후건물거리_30년이상_m_100m,최근접_초노후건물거리_50년이상_m_100m,주변노후도_매칭원본행번호,주변노후도_매칭거리_m
종로구,37.56785597,126.98450169,62.63,0.603,0.5589,13,76.9,0.6931471805599453,10.0,21,6,0.2857142857142857,4,0.6666666666666666,3,0.5,49.72940908053844,52.81587953456537,91.00068446269678,1975.8333333333333,189472.29,0.009104128102320398,0.003490484017478229,5.703931151956398,5.703931151956398,40,13,0.325,8,0.6153846153846154,7,0.5384615384615384,44.092665718949085,50.63381245722108,91.00068446269678,1981.5384615384614,290878.19,0.08276687915309153,0.07911026261542674,5.703931151956398,5.703931151956398,0,0.0001949912571874927
종로구,37.57030354,126.9840039,34.67,0.6255,0.2366,8,50.0,0.7304542329727559,35.0,12,5,0.4166666666666667,4,0.8,3,0.6,50.07200547570157,53.568788501026695,66.652977412731,1975.6,66026.4,0.08217682623920129,0.07496698290380818,30.386162893679664,30.386162893679664,47,27,0.574468085106383,25,0.9259259259259259,19,0.7037037037037037,53.94225162876771,56.51471594798083,70.53798767967146,1971.7407407407406,103822.79,0.4156142403801709,0.37994760109991266,30.386162893679664,30.386162893679664,519,0.0005112376954402778
종로구,37.57180204,126.98300804,31.34,0.6475,0.1009,14,71.4,0.4895482253187058,30.0,17,6,0.35294117647058826,6,1.0,5,0.8333333333333334,56.65890942276979,58.82135523613963,62.27241615331965,1969.0,18089.06,1.0,0.15296759477828034,17.259000647543385,17.259000647543385,55,20,0.36363636363636365,17,0.85,11,0.55,49.74455852156058,56.421629021218344,68.12320328542094,1975.95,246822.209,0.5259437533030101,0.018412970285020015,17.259000647543385,17.259000647543385,2,0.00047307177052056926
종로구,37.56976898,127.01545561,31.19,0.786,0.296,3,66.7,1.8643198527313989,25.0,5,5,1.0,5,1.0,4,0.8,54.45913757700206,57.58521560574949,57.58521560574949,1971.2,23976.55,1.0,0.46126527794866234,22.04267969645004,33.10313475414814,53,24,0.4528301886792453,22,0.9166666666666666,16,0.6666666666666666,53.201916495550996,57.58521560574949,70.69404517453799,1972.5416666666667,79175.48999999999,0.5348281393648464,0.15088141544813932,22.04267969645004,33.10313475414814,4,0.0003269915489637441
종로구,37.56954746,126.98855583,27.98,0.8045,0.1009,21,61.9,1.7926362777015894,7.0,27,17,0.6296296296296297,13,0.7647058823529411,7,0.4117647058823529,44.565124612473326,43.2498288843258,69.88364134154689,1981.1176470588234,33885.89,0.6773305939433788,0.17829043297962663,7.386264353877805,7.386264353877805,65,41,0.6307692307692307,30,0.7317073170731707,18,0.43902439024390244,46.10033221482112,43.2498288843258,87.28542094455852,1979.6341463414635,86140.65000000001,0.37649913252337885,0.1460752850135215,7.386264353877805,7.386264353877805,5,0.00019064748706962493
종로구,37.57304815,127.00317208,25.4,0.6435,0.1009,7,57.1,0.058188157683169,40.0,7,6,0.8571428571428571,4,0.6666666666666666,3,0.5,45.397672826830934,50.625598904859686,59.81930184804928,1980.1666666666667,5187.2,0.3707356570018507,0.2287900987045034,37.92967514101141,37.92967514101141,72,30,0.4166666666666667,20,0.6666666666666666,12,0.4,44.36970111795574,46.23956194387406,69.45653661875428,1981.1666666666667,20401.630000000005,0.6741569178541125,0.33619568632506325,37.92967514101141,37.92967514101141,6,0.00030465809385652246
종로구,37.56859605,126.97474946,85.09,0.3135,0.5759,5,100.0,0.035612071788877,10.0,7,3,0.42857142857142855,2,0.6666666666666666,0,0.0,38.96235455167693,46.83367556468173,46.83367556468173,1987.0,10765.490000000002,0.9138264955891464,0.0,16.724622948785594,,32,13,0.40625,12,0.9230769230769231,8,0.6153846153846154,52.71373663981467,57.4757015742642,67.45242984257358,1973.076923076923,52198.61,0.9822274960961603,0.13039715042220473,16.724622948785594,51.9675198837273,7,0.00017670338014429672
종로구,37.56787973,126.99879348,60.15,0.661,0.542,37,59.5,0.6931471805599453,8.0,55,42,0.7636363636363637,36,0.8571428571428571,29,0.6904761904761905,57.89472311854243,58.60232717316906,93.41273100616016,1967.8333333333333,13205.679999999998,0.9224280764034871,0.645532831327126,5.420210743674538,5.420210743674538,185,121,0.654054054054054,96,0.7933884297520661,80,0.6611570247933884,57.555664918741265,58.5242984257358,95.40041067761807,1968.1652892561983,38342.54,0.8223174573202505,0.5488681761823813,5.420210743674538,5.420210743674538,8,0.0003755170066107625
종로구,37.57078678,126.99068465,42.27,0.919,0.5589,31,61.3,0.698324068739479,5.0,36,19,0.5277777777777778,14,0.7368421052631579,9,0.47368421052631576,44.37076263554163,48.24366872005476,65.84531143052703,1981.3684210526317,47295.36,0.2307410282953761,0.1642427502401927,9.800602538170136,9.800602538170136,125,58,0.464,42,0.7241379310344828,28,0.4827586206896552,45.60173711912011,46.741957563312795,100.28473648186174,1980.0862068965516,71512.45999999999,0.3129731518115864,0.186164620822721,9.800602538170136,9.800602538170136,9,0.0003962144100243044
종로구,37.57018563,126.99144197,14.13,0.9255,0.2027,11,72.7,0.3761947258080512,35.0,18,9,0.5,8,0.8888888888888888,7,0.7777777777777778,60.41919537607422,58.392881587953454,100.28473648186174,1965.2222222222222,11778.769999999999,0.7020317061968271,0.4937408574919113,21.296545187844597,21.296545187844597,77,34,0.44155844155844154,29,0.8529411764705882,27,0.7941176470588235,55.00978379031284,58.43394934976044,100.28473648186174,1970.6176470588234,58965.09,0.3563856173203501,0.3058436780135501,21.296545187844597,21.296545187844597,11,0.00033047584315309844
종로구,37.56655742,126.98379997,59.37,0.5385,0.6098,4,50.0,0.6931471805599453,30.0,6,3,0.5,2,0.6666666666666666,1,0.3333333333333333,39.049053159936115,46.74058863791923,54.672142368240934,1986.6666666666667,72183.11,0.22842587414147156,0.044946941188873685,12.312197257985803,49.754564632028796,32,13,0.40625,10,0.7692307692307693,8,0.6153846153846154,50.97730742905282,54.672142368240934,89.69199178644764,1974.7692307692307,215027.63999999998,0.20595961523830145,0.06501871108291009,12.312197257985803,49.754564632028796,12,0.00040000428636574793
종로구,37.57228397,127.02039051,43.5,0.691,0.3129,9,66.7,0.7105211484959985,7.0,12,8,0.6666666666666666,8,1.0,2,0.25,41.78405201916496,41.15537303216975,54.677618069815196,1984.0,27656.74,1.0,0.006964667563856043,4.598727400984863,7.505831937277948,73,48,0.6575342465753424,46,0.9583333333333334,29,0.6041666666666666,49.49013232945472,54.677618069815196,69.52498288843258,1976.25,42242.54,0.9859965806980356,0.10775559424220231,4.598727400984863,7.505831937277948,13,0.0005307264999203221
중구,37.55403706,126.97637629,32.16,0.7125,0.1433,14,57.1,0.6931471805599453,11.99,16,9,0.5625,7,0.7777777777777778,3,0.3333333333333333,41.92257966385276,40.33949349760438,78.35181382614647,1983.6666666666667,81510.97,0.02537989671819633,0.005917117659132261,25.037951150523078,25.037951150523078,77,59,0.7662337662337663,48,0.8135593220338984,20,0.3389830508474576,44.98910660216475,40.38603696098563,96.44900752908967,1980.6949152542372,195509.06,0.5769365880026225,0.021554602124320994,25.037951150523078,25.037951150523078,14,0.000243538790445884
종로구,37.56817447,127.01314811,28.3,0.918,0.3554,5,80.0,2.290649742444773,20.0,11,5,0.45454545454545453,4,0.8,1,0.2,40.619849418206705,36.79123887748118,61.3305954825462,1985.0,20920.559999999998,0.5236136126375203,0.0023479295009311415,1.7133687949337848,28.829238189853704,33,21,0.6363636363636364,14,0.6666666666666666,1,0.047619047619047616,34.26433297480525,31.644079397672826,61.3305954825462,1991.4285714285713,226846.42999999996,0.557656208210991,0.00021653415484651888,1.7133687949337848,28.829238189853704,15,0.0002565646535912084
종로구,37.56664615,126.98332934,53.07,0.534,0.4741,3,66.7,1.0608719606852626,39.0,5,4,0.8,3,0.75,2,0.5,41.65639972621493,47.08555783709788,56.720054757015745,1984.0,100693.88,0.4468917078177939,0.11460348930838694,16.44026331196446,17.89118173971671,29,13,0.4482758620689655,12,0.9230769230769231,8,0.6153846153846154,55.71589532985838,54.672142368240934,92.28473648186174,1969.923076923077,146878.82,0.6208124493374878,0.1027896329777159,16.44026331196446,17.89118173971671,16,0.0005966432592009485
종로구,37.56718514,126.98358024,61.13,0.549,0.4996,15,46.7,1.2794312155775294,10.0,20,8,0.4,7,0.875,7,0.875,58.70773442847366,59.13073237508556,92.28473648186174,1967.0,70081.51,0.205287956837688,0.205287956837688,12.428903893200228,12.428903893200228,37,18,0.4864864864864865,14,0.7777777777777778,11,0.6111111111111112,49.559510228914746,54.33264887063655,92.28473648186174,1976.111111111111,359606.48000000004,0.2584722055064191,0.12564061693215314,12.428903893200228,12.428903893200228,17,0.00040082880811891276
종로구,37.56946846,127.01349641,43.58,0.846,0.6098,6,66.7,1.8129221675840912,20.0,6,6,1.0,5,0.8333333333333334,3,0.5,44.516541181838925,46.14784394250513,57.28952772073922,1981.0,23042.82,0.9361840260870848,0.286595130283533,10.874625695942274,10.874625695942274,48,31,0.6458333333333334,27,0.8709677419354839,13,0.41935483870967744,45.28440529023426,42.913073237508556,64.7173169062286,1980.4193548387098,151164.89000000004,0.6024605316750468,0.18158680894750093,10.874625695942274,10.874625695942274,19,0.0006171052972423755
종로구,37.57265524,127.00336668,50.4,0.6205,0.3129,8,75.0,0.8026314134016336,4.0,15,11,0.7333333333333333,9,0.8181818181818182,6,0.5454545454545454,48.42138012569224,52.55578370978782,59.81930184804928,1977.1818181818182,14886.439999999999,0.31753528714722934,0.19719422508000573,21.514753796019544,21.514753796019544,79,40,0.5063291139240507,30,0.75,18,0.45,45.24435318275154,46.23956194387406,69.45653661875428,1980.4,32980.950000000004,0.5477719713956086,0.25155551917091534,21.514753796019544,21.514753796019544,21,0.00041018125477548486
종로구,37.56953983,126.98762245,30.98,0.768,0.2621,16,75.0,1.5746285077682394,35.0,22,17,0.7727272727272727,16,0.9411764705882353,10,0.5882352941176471,50.56198413657044,54.31622176591376,71.8466803559206,1975.235294117647,27561.8,0.9090600033379533,0.44877257653709113,13.445916211718423,13.445916211718423,74,57,0.7702702702702703,50,0.8771929824561403,36,0.631578947368421,50.56781584351021,55.42778918548939,71.8466803559206,1975.122807017544,113966.76999999999,0.8188299975510405,0.5763205362405199,13.445916211718423,13.445916211718423,22,0.0002274456432853189
종로구,37.57029351,127.01912285,38.37,0.662,0.0585,48,50.0,1.1337273076890122,8.0,55,36,0.6545454545454545,33,0.9166666666666666,23,0.6388888888888888,55.101908890409916,57.02395619438741,86.11088295687885,1970.5833333333333,11841.449999999999,0.41377956246912334,0.11427147857737018,2.1908379856349156,9.183411665037431,127,94,0.7401574803149606,78,0.8297872340425532,47,0.5,52.09404808714522,49.82888432580424,88.85968514715948,1973.6382978723404,62142.98000000001,0.254183819314748,0.06760634910009142,2.1908379856349156,9.183411665037431,23,0.00028797312565701037
종로구,37.56975326,127.01196959,12.51,0.8395,0.0754,3,33.3,1.6502405363066972,25.0,9,5,0.5555555555555556,4,0.8,4,0.8,50.04353182751541,56.77754962354552,57.58521560574949,1975.6,21961.199999999997,0.9898694060433856,0.9898694060433856,23.772985054044394,23.772985054044394,84,46,0.5476190476190477,44,0.9565217391304348,29,0.6304347826086957,51.17876380085112,56.369609856262834,69.77686516084873,1974.5434782608695,92986.10999999999,0.9971742016092512,0.4639161698451522,23.772985054044394,23.772985054044394,24,0.0003581606978088061
종로구,37.56702341,126.98663866,59.37,0.6525,0.525,1,100.0,1.652923024373839,10.0,3,3,1.0,3,1.0,0,0.0,38.46406570841889,38.46406570841889,38.46406570841889,1987.0,221016.08000000002,1.0,0.0,16.824409562603314,,7,4,0.5714285714285714,3,0.75,0,0.0,32.68240930869268,38.46406570841889,38.46406570841889,1992.75,389066.09,0.5680682168934332,0.0,16.824409562603314,,25,0.00034151407529286657
