좌표인덱스,대상_X,대상_Y,건물_고유번호,주용도명,지상층수,지하층수,총층수,거리(m)
5.0,198988.9836462216,552223.0972210659,1965198914494519196300000000,제2종근린생활시설,5.0,0.0,5,5.17
5.0,198988.9836462216,552223.0972210659,1971198933404519217100000000,제2종근린생활시설,4.0,1.0,5,14.54
5.0,198988.9836462216,552223.0972210659,1983198876904519382300000000,교육연구시설,5.0,1.0,6,47.08
5.0,198988.9836462216,552223.0972210659,1969198929434519424100000000,제1종근린생활시설,5.0,1.0,6,26.49
5.0,198988.9836462216,552223.0972210659,0000198937084519425800000000,단독주택,2.0,0.0,2,30.37
5.0,198988.9836462216,552223.0972210659,1977198946664519430700000000,제2종근린생활시설,4.0,1.0,5,37.12
5.0,198988.9836462216,552223.0972210659,0000198957734519431500000000,제2종근린생활시설,4.0,0.0,4,45.92
5.0,198988.9836462216,552223.0972210659,1999198905014519516800000000,업무시설,12.0,4.0,16,36.7
6.0,200280.21893959673,552611.5759365377,1999200237834522646300000000,교육연구시설,5.0,0.0,5,49.82
6.0,200280.21893959673,552611.5759365377,0000200255964522855500000000,제1종근린생활시설,3.0,1.0,4,49.89
6.0,200280.21893959673,552611.5759365377,1969200255394522951800000000,제2종근린생활시설,5.0,1.0,6,46.15
6.0,200280.21893959673,552611.5759365377,1967200256564523045500000000,제1종근린생활시설,4.0,0.0,4,45.97
6.0,200280.21893959673,552611.5759365377,1966200255454523114200000000,제1종근린생활시설,4.0,0.0,4,45.11
6.0,200280.21893959673,552611.5759365377,1999200164284523156400000000,,1.0,0.0,1,47.26
6.0,200280.21893959673,552611.5759365377,1999200207344523183900000000,교육연구시설,4.0,1.0,5,12.47
7.0,197769.2537231727,552117.7398848702,1979197714044517864200000000,,1.0,0.0,1,29.86
7.0,197769.2537231727,552117.7398848702,0000197705154518006000000000,,1.0,0.0,1,13.18
7.0,197769.2537231727,552117.7398848702,2003197654974518025300000000,교육연구시설,4.0,0.0,4,45.77
7.0,197769.2537231727,552117.7398848702,1960197693154518131200000000,교육연구시설,5.0,1.0,6,6.5
7.0,197769.2537231727,552117.7398848702,0000197700144518292000000000,,1.0,0.0,1,16.64
8.0,199893.409361955,552037.9379629096,1988199813354516943900000000,단독주택,3.0,1.0,4,39.74
8.0,199893.409361955,552037.9379629096,0000199835044516945100000000,단독주택,2.0,0.0,2,39.83
8.0,199893.409361955,552037.9379629096,1945199827014516950300000000,제1종근린생활시설,1.0,0.0,1,37.84
8.0,199893.409361955,552037.9379629096,0000199844664516960100000000,제1종근린생활시설,1.0,0.0,1,42.23
8.0,199893.409361955,552037.9379629096,1940199801324516974500000000,제1종근린생활시설,2.0,1.0,3,41.83
8.0,199893.409361955,552037.9379629096,0000199858624516992900000000,,1.0,0.0,1,48.28
8.0,199893.409361955,552037.9379629096,0000199812854517007200000000,,1.0,0.0,1,33.83
8.0,199893.409361955,552037.9379629096,1963199840504517057200000000,단독주택,2.0,1.0,3,31.76
