구,위도,경도,위험점수_AHP,소방접근성_점수,노후도_점수,반경_50m_건물수,집중도(%),로그_주변대비_상대위험도_고유단속지점_50m,공식도로폭m,주변건물수_50m,주변_사용승인일유효건물수_50m,주변_사용승인일유효률_50m,주변_노후건물수_30년이상_50m,주변_노후건물비율_30년이상_50m,주변_초노후건물수_50년이상_50m,주변_초노후건물비율_50년이상_50m,주변_평균건물연한_50m,주변_중위건물연한_50m,주변_최대건물연한_50m,주변_평균사용승인연도_50m,주변_연면적합계_m2_50m,주변_노후연면적비율_30년이상_50m,주변_초노후연면적비율_50년이상_50m,최근접_노후건물거리_30년이상_m_50m,최근접_초노후건물거리_50년이상_m_50m,주변건물수_100m,주변_사용승인일유효건물수_100m,주변_사용승인일유효률_100m,주변_노후건물수_30년이상_100m,주변_노후건물비율_30년이상_100m,주변_초노후건물수_50년이상_100m,주변_초노후건물비율_50년이상_100m,주변_평균건물연한_100m,주변_중위건물연한_100m,주변_최대건물연한_100m,주변_평균사용승인연도_100m,주변_연면적합계_m2_100m,주변_노후연면적비율_30년이상_100m,주변_초노후연면적비율_50년이상_100m,최근접_노후건물거리_30년이상_m_100m,최근접_초노후건물거리_50년이상_m_100m,주변노후도_매칭원본행번호,주변노후도_매칭거리_m
종로구,37.56785597,126.98450169,62.63,0.603,0.5589,13,76.9,0.6931471805599453,10.0,21,6,0.2857142857142857,4,0.6666666666666666,3,0.5,49.72940908053844,52.81587953456537,91.00068446269678,1975.8333333333333,189472.29,0.0091041281023203,0.0034904840174782,5.703931151956398,5.703931151956398,40,13,0.325,8,0.6153846153846154,7,0.5384615384615384,44.092665718949085,50.63381245722108,91.00068446269678,1981.5384615384612,290878.19,0.0827668791530915,0.0791102626154267,5.703931151956398,5.703931151956398,0,0.0001949912571874
종로구,37.57030354,126.9840039,34.67,0.6255,0.2366,8,50.0,0.7304542329727559,35.0,12,5,0.4166666666666667,4,0.8,3,0.6,50.07200547570157,53.568788501026695,66.652977412731,1975.6,66026.4,0.0821768262392012,0.0749669829038081,30.386162893679664,30.386162893679664,47,27,0.574468085106383,25,0.925925925925926,19,0.7037037037037037,53.94225162876771,56.51471594798083,70.53798767967146,1971.7407407407409,103822.79,0.4156142403801709,0.3799476010999126,30.386162893679664,30.386162893679664,519,0.0005112376954402
종로구,37.57180204,126.98300804,31.34,0.6475,0.1009,14,71.4,0.4895482253187058,30.0,17,6,0.3529411764705882,6,1.0,5,0.8333333333333334,56.65890942276979,58.82135523613963,62.27241615331965,1969.0,18089.06,1.0,0.1529675947782803,17.259000647543385,17.259000647543385,55,20,0.3636363636363636,17,0.85,11,0.55,49.74455852156058,56.42162902121834,68.12320328542094,1975.95,246822.209,0.5259437533030101,0.01841297028502,17.259000647543385,17.259000647543385,2,0.0004730717705205
종로구,37.57093161,126.99588429,30.37,0.8455,0.3893,3,100.0,0.0652912498144373,35.0,3,0,0.0,0,0.0,0,0.0,,,,,0.0,,,,,52,12,0.2307692307692307,10,0.8333333333333334,6,0.5,51.59342915811089,52.855578370978776,77.6125941136208,1974.25,4804.460000000001,0.9446639164443036,0.246296149827452,57.44471666484052,57.44471666484052,3,0.0002014845835146
종로구,37.56976898,127.01545561,31.19,0.786,0.296,3,66.7,1.8643198527313989,25.0,5,5,1.0,5,1.0,4,0.8,54.45913757700206,57.58521560574949,57.58521560574949,1971.2,23976.55,1.0,0.4612652779486623,22.04267969645004,33.10313475414814,53,24,0.4528301886792453,22,0.9166666666666666,16,0.6666666666666666,53.201916495551,57.58521560574949,70.69404517453799,1972.5416666666667,79175.48999999999,0.5348281393648464,0.1508814154481393,22.04267969645004,33.10313475414814,4,0.0003269915489637
종로구,37.56954746,126.98855583,27.98,0.8045,0.1009,21,61.9,1.7926362777015894,7.0,27,17,0.6296296296296297,13,0.7647058823529411,7,0.4117647058823529,44.565124612473326,43.2498288843258,69.88364134154689,1981.1176470588236,33885.89,0.6773305939433788,0.1782904329796266,7.386264353877805,7.386264353877805,65,41,0.6307692307692307,30,0.7317073170731707,18,0.4390243902439024,46.10033221482112,43.2498288843258,87.28542094455852,1979.6341463414635,86140.65000000001,0.3764991325233788,0.1460752850135215,7.386264353877805,7.386264353877805,5,0.0001906474870696
종로구,37.57304815,127.00317208,25.4,0.6435,0.1009,7,57.1,0.058188157683169,40.0,7,6,0.8571428571428571,4,0.6666666666666666,3,0.5,45.39767282683093,50.625598904859686,59.81930184804928,1980.1666666666667,5187.2,0.3707356570018507,0.2287900987045034,37.92967514101141,37.92967514101141,72,30,0.4166666666666667,20,0.6666666666666666,12,0.4,44.36970111795574,46.23956194387406,69.45653661875428,1981.1666666666667,20401.630000000005,0.6741569178541125,0.3361956863250632,37.92967514101141,37.92967514101141,6,0.0003046580938565
종로구,37.56859605,126.97474946,85.09,0.3135,0.5759,5,100.0,0.035612071788877,10.0,7,3,0.4285714285714285,2,0.6666666666666666,0,0.0,38.96235455167693,46.83367556468173,46.83367556468173,1987.0,10765.490000000002,0.9138264955891464,0.0,16.724622948785594,,32,13,0.40625,12,0.9230769230769232,8,0.6153846153846154,52.71373663981467,57.4757015742642,67.45242984257358,1973.076923076923,52198.61,0.9822274960961604,0.1303971504222047,16.724622948785594,51.9675198837273,7,0.0001767033801442
종로구,37.56787973,126.99879348,60.15,0.661,0.542,37,59.5,0.6931471805599453,8.0,55,42,0.7636363636363637,36,0.8571428571428571,29,0.6904761904761905,57.89472311854243,58.60232717316906,93.41273100616016,1967.8333333333333,13205.679999999998,0.9224280764034872,0.645532831327126,5.420210743674538,5.420210743674538,185,121,0.654054054054054,96,0.7933884297520661,80,0.6611570247933884,57.55566491874127,58.5242984257358,95.40041067761808,1968.1652892561983,38342.54,0.8223174573202505,0.5488681761823813,5.420210743674538,5.420210743674538,8,0.0003755170066107
종로구,37.57078678,126.99068465,42.27,0.919,0.5589,31,61.3,0.698324068739479,5.0,36,19,0.5277777777777778,14,0.7368421052631579,9,0.4736842105263157,44.37076263554163,48.24366872005476,65.84531143052703,1981.368421052632,47295.36,0.2307410282953761,0.1642427502401927,9.800602538170136,9.800602538170136,125,58,0.464,42,0.7241379310344828,28,0.4827586206896552,45.60173711912011,46.7419575633128,100.28473648186174,1980.086206896552,71512.45999999999,0.3129731518115864,0.186164620822721,9.800602538170136,9.800602538170136,9,0.0003962144100243
