대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,총층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 종로구 관철동 19-3번지,11110,13500,0,19,3,1002126378,1,일반,2,일반건축물,서울특별시 종로구 종로12길 16 (관철동),대성빌딩,,,,0,111104100307.0,13501.0,0.0,16.0,0.0,,0,주건축물,116.7,106.88,91.59,743.33,652.42,559.06,21.0,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,"제2종근린생활시설(소매점,일반음식점), 숙박시설",10.0,철근)콘크리트,철근콘크리트,0,0,20.75,7,1,8,1,0,0,0.0,743.33,0,0.0,0,0.0,0,0.0,0,0.0,,,,2005.0,3000082.0,건축과,1206.0,대수선신고,0,,0.0,0.0,,0.0,,0.0,20251230,0.0,
서울특별시 중구 충무로2가 66-9번지,11140,12500,0,66,9,100315009,2,집합,3,표제부,서울특별시 중구 명동8가길 7 (충무로2가),프리엠상가,,,,0,111404103160.0,12501.0,0.0,7.0,,1,0,주건축물,255.5,242.41,94.88,2115.48,1873.07,733.1,21.0,철근콘크리트구조,철근콘크리트구조,15000,숙박시설,"숙박시설(판매및영업시설,근생)",10.0,철근)콘크리트,철근)콘크리트,178,0,26.65,9,1,10,1,0,0,0.0,2115.48,0,0.0,0,0.0,0,0.0,0,0.0,20051212,20051213,20060222,2005.0,,,1206.0,대수선신고,0,,0.0,0.0,,0.0,,0.0,20220813,1.0,
