구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_최근접_소화용수_거리등급,bw_intercept,bw_최근접_소화용수_거리등급
종로구,당주동,SOUNDS INN GWANGHWAMUN,2,고위험군,37.56859605,126.9747495,197769.2539,452117.7398,43.75873477,-2.69165310131109,41.59573022735993,4.0291563609078365,43.0,806.0
종로구,묘동,킴스텔코리아 종로점,2,고위험군,37.57078678,126.9906847,199177.0643,452360.6264,42.95410306,1.9966209969557767,41.26904173659727,4.016822080552449,43.0,806.0
종로구,창신동,동대문 스테이가든,2,고위험군,37.56946846,127.0134964,201192.3196,452214.3531,43.18296159,-4.826989813873297,43.167824297763985,4.018756555204959,43.0,806.0
종로구,낙원동,하프레스트 호스텔,2,고위험군,37.56953983,126.9876225,198906.5254,452222.2607,27.46548794,-8.06729203055865,40.98601922466056,4.009707140136563,43.0,806.0
종로구,관철동,스테이 마루 종로,2,고위험군,37.56669767,126.9847978,198656.9335,451906.8508,41.77586694,-3.0859248591957353,40.05133737953835,3.9924695921595177,43.0,806.0
종로구,숭인동,루나하우스,2,고위험군,37.57353634,127.0219178,201936.189,452665.9807,35.49600889,-0.6325130273667909,41.61606368104631,4.034929400002481,43.0,806.0
중구,충무로5가,머룸스테이,2,고위험군,37.56119377,127.0008458,200074.73,451295.8743,37.71343046,-4.7834978063343385,42.80517763258558,3.974143529404787,43.0,806.0
중구,신당동,케이그랜드호텔 DDP,2,고위험군,37.56571746,127.0106231,200938.5285,451798.0034,42.58601421,-5.637949019585626,43.39755263705308,4.005712527120299,43.0,806.0
중구,명동,무드온 명동,2,고위험군,37.56042879,126.9831765,198513.5724,451211.1032,36.88846481,2.6026721972798654,39.656833864510965,3.949267848659707,43.0,806.0
중구,황학동,SINDANG GRAND JOY 호스텔,2,고위험군,37.56332856,127.018601,201643.4107,451532.9731,53.20401401,10.308795396962402,43.206585406489765,4.0143353497144,43.0,806.0
중구,충무로3가,MOREN SEOUL MYEONGDONG,2,고위험군,37.55945274,126.9901255,199127.5348,451102.686,38.45181873,-0.2745451305702318,39.03270269712019,3.949511786142988,43.0,806.0
중구,(인현동,이랑 스테이,2,고위험군,37.5614873,126.9924598,199333.8016,451328.479,37.18727609,-2.735096816608902,40.22992513078948,3.9651555380167984,43.0,806.0
중구,을지로6가,하이 동대문 호스텔,2,고위험군,37.5646535,127.0066663,200588.9601,451679.8841,47.47456513,2.8651749940443807,44.91945753471115,3.9975827409788685,43.0,806.0
중구,명동,하이 서울 호스텔,2,고위험군,37.5583226,126.9816113,198375.2321,450977.367,34.53618313,-1.574074652258993,41.463507795453914,3.9361861456377447,43.0,806.0
중구,충무로2가,올스테이인,2,고위험군,37.55898959,126.9891113,199037.9163,451051.2918,35.16750905,-3.5884006592847655,39.06193083652461,3.945415679103503,43.0,806.0
중구,을지로3가,아르보 스테이,2,고위험군,37.56344317,126.9931766,199397.1478,451545.5527,34.04461661,-1.380875589319345,40.83498231513236,3.9775388775686173,43.0,806.0
중구,(남산동,올리브 호스텔,2,고위험군,37.55561712,126.9843204,198614.5499,450677.0475,45.54906612,-0.711164381342563,41.54125169371396,3.916548781444278,43.0,806.0
중구,(남산동,보로인 명동,2,고위험군,37.55514884,126.984327,198615.1244,450625.0739,45.03249828,-1.3309888004029489,41.64840143772695,3.9133176225277704,43.0,806.0
중구,명동,호텔 28,2,고위험군,37.56160377,126.9831825,198514.1268,451341.5121,35.59843851,-3.53055249160154,39.436008689826025,3.958263966309769,43.0,806.0
중구,(남산동,오요 5 롯지B (OYO 5 Lodge B),2,고위험군,37.55646209,126.9842423,198607.6709,450770.8303,41.77523918,0.791223082986015,41.28822288442536,3.9220240758144302,43.0,806.0
용산구,서계동,스테이터울,2,고위험군,37.55142339,126.9655309,196954.1424,450212.0365,42.95662447,-1.1494405707185962,44.4237101303087,4.095279068352686,43.0,806.0
용산구,이태원동,H호스텔,2,고위험군,37.52931063,126.9937982,199451.814,447757.2496,44.34334328,1.1248423845040847,38.63389576821365,3.8050244251221335,43.0,806.0
용산구,한남동,서울미라마(유)그랜드하얏트서울,2,고위험군,37.5367936,126.9970254,199737.097,448587.753,39.17078529,3.016908789521068,41.345846424470025,3.81759866118875,43.0,806.0
성동구,성동,스윗스팟성수,2,고위험군,37.54745731,127.052317,204623.2283,449772.5772,40.61094366,-2.2113470282135594,43.13447313838971,4.024851306101452,43.0,806.0
마포구,동교동,비아르떼 서울,2,고위험군,37.554874,126.9280682,193644.0584,450596.8864,46.83425488,5.934294425779541,41.26955321494604,4.765020919313857,43.0,806.0
마포구,노고산동,코코스테이,2,고위험군,37.55210431,126.9334754,194121.6196,450289.132,38.7656671,8.585988163441879,36.67795832911802,4.778113716420994,43.0,806.0
강서구,화곡동,해담채스테이,2,고위험군,37.52728435,126.8398255,185841.6526,447544.3947,31.96512779,-1.625018195023717,40.1085845696608,4.792936549721489,43.0,806.0
종로구,홍지동,씨케이 인 종로점,2,고위험군,37.5978767,126.958618,196345.5571,455368.0638,46.79405893,-2.6536918117747774,44.49773525639783,4.108299254500316,43.0,806.0
종로구,숭인동,서울 게스트하우스,2,고위험군,37.57188149,127.0156094,201378.9422,452482.2003,50.03752853,8.166662934929114,42.18311887032869,4.02576442732987,43.0,806.0
종로구,관철동,어 베터 플레이스 (A BETTER PLACE),2,고위험군,37.56691314,126.9855653,198724.7407,451930.7547,42.10691938,7.373347640984775,40.16543840683146,3.9939921113546553,43.0,806.0
종로구,숭인동,동미,2,고위험군,37.5726296,127.0200052,201767.2557,452565.3054,34.93091504,-1.1566712689677985,41.5705823047268,4.031586946602029,43.0,806.0
종로구,익선동,SAE WHA HOSTEL,2,고위험군,37.57198435,126.9895391,199075.8816,452493.5534,39.77307222,3.6237090106525613,41.62049548581643,4.022863683651493,43.0,806.0
종로구,창신동,순안,2,고위험군,37.5681032,127.010761,200950.6822,452062.794,36.75775525,-5.9505782986463345,43.01957762737197,4.01275323474583,43.0,806.0
종로구,효제동,스타호스텔 동대문 스위트,2,고위험군,37.56891882,127.0021479,200189.7543,452153.266,27.00323146,-7.167393325652785,39.6234150359667,4.0093769925654135,43.0,806.0
종로구,명륜4가,호텔 달스테어(Hotel DALSTAIR),2,고위험군,37.58004227,126.9969759,199732.8774,453387.8425,58.33196648,14.740872244438116,38.71163195499384,4.04974313895375,43.0,806.0
종로구,관철동,한평,2,고위험군,37.56696198,126.9842319,198606.9413,451936.1943,34.17025885,-5.628906354901488,40.108956678400205,3.994025340075433,43.0,806.0
종로구,창신동,현대,2,고위험군,37.56819149,127.0107164,200946.7409,452072.5927,35.54286008,-7.163780693859422,43.017901503039916,4.012967902818738,43.0,806.0
종로구,종로6가,저스트포유(JUST4U),2,고위험군,37.56882658,127.0066505,200587.535,452143.0471,48.90870587,7.508702892275927,41.71119343252987,4.012061881648672,43.0,806.0
종로구,창신동,동해,2,고위험군,37.56823753,127.0108347,200957.188,452077.7038,46.8412654,9.279627202093188,43.01962142539557,4.013195331847128,43.0,806.0
종로구,창신동,NOOK INN 누크인,2,고위험군,37.56817138,127.010478,200925.6806,452070.3583,33.12462701,-9.590901882538368,43.02677012388371,4.012716524539054,43.0,806.0
종로구,숭인동,만남모텔,2,고위험군,37.57340694,127.0214372,201893.7385,452651.609,35.8959241,-0.22289165336200512,41.605752364422266,4.034484437904676,43.0,806.0
종로구,숭인동,스테이 42 동묘,2,고위험군,37.57221599,127.0184885,201633.279,452519.372,56.48822658,15.26378342951245,41.53696572606664,4.029236415422909,43.0,806.0
종로구,창신동,디디엠 스테이,2,고위험군,37.56858682,127.0114738,201013.6489,452116.4776,34.56898523,-2.987115456234932,43.01610928084111,4.014684562121772,43.0,806.0
종로구,창신동,대진,2,고위험군,37.56943843,127.0101945,200900.6186,452210.9833,43.95079617,-4.1065654699484,43.21836009258449,4.016162476317418,43.0,806.0
종로구,관수동,풀리 미니호텔,2,고위험군,37.56718956,126.9905287,199163.2427,451961.3783,41.5548098,1.0342246963910426,40.83066507598114,3.9977448479049906,43.0,806.0
종로구,관수동,브레드 힐 호텔(Bread Hill Hotel),2,고위험군,37.56708795,126.9905269,199163.0834,451950.1008,35.63344025,0.2498026591732767,40.819797895914206,3.9971491758481528,43.0,806.0
종로구,숭인동,메종호텔,2,고위험군,37.57469579,127.0218552,201930.6264,452794.665,41.66958079,5.556418122906983,41.60319300243758,4.036759219511414,43.0,806.0
종로구,숭인동,가야,2,고위험군,37.57401858,127.0216359,201911.2775,452719.498,58.72604468,17.432004870037275,41.6070690994829,4.035769288319664,43.0,806.0
종로구,숭인동,메트로 21(Metro 21),2,고위험군,37.57022964,127.0193705,201711.2396,452298.926,36.32694724,0.4335800709194615,41.37073127401628,4.027445878918359,43.0,806.0
종로구,효제동,어바웃스테이 동대문,2,고위험군,37.56951008,127.0033108,200292.4909,452218.892,35.15587756,-4.528264517748809,39.995321065890266,4.011914046243746,43.0,806.0
종로구,효제동,구월호텔,2,고위험군,37.56884387,127.0025535,200225.5843,452144.9483,32.29166394,-6.795835315615022,39.398468109261145,4.009204860965949,43.0,806.0
종로구,종로6가,디하이브,2,고위험군,37.56884393,127.0068372,200604.0252,452144.9739,32.48426828,-9.049459597477842,41.84492897455462,4.012199088459041,43.0,806.0
종로구,숭인동,호스텔 서울,2,고위험군,37.57569436,127.0215682,201905.2535,452905.4889,33.95162918,-2.1364908174465356,41.5790175158523,4.037396849725366,43.0,806.0
종로구,창신동,창신기지,2,고위험군,37.56848774,127.0114066,201007.7117,452105.4801,58.70687078,16.020565444295954,42.99767394514578,4.014358762587096,43.0,806.0
종로구,창신동,이지스테이,2,고위험군,37.56959298,127.0093634,200827.1964,452228.1289,44.6088199,6.839166167135517,43.23162900953005,4.016130641915539,43.0,806.0
종로구,효제동,제이오 호스텔 동대문,2,고위험군,37.56986057,127.0034356,200303.5112,452257.7927,33.50913576,-1.3516954216545827,40.31872098706989,4.013126639618981,43.0,806.0
