구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_단속위험도,bw_intercept,bw_단속위험도
종로구,당주동,SOUNDS INN GWANGHWAMUN,2,고위험군,37.56859605,126.9747495,197769.2539,452117.7398,43.75873477,4.976472440003292,41.15944089839007,2.3277782595965673,46.0,165.0
종로구,묘동,킴스텔코리아 종로점,2,고위험군,37.57078678,126.9906847,199177.0643,452360.6264,42.95410306,5.7794216902583315,37.70777972562263,1.9712345389707113,46.0,165.0
종로구,창신동,동대문 스테이가든,2,고위험군,37.56946846,127.0134964,201192.3196,452214.3531,43.18296159,1.5101489415779028,41.696670419352124,-0.0240432879730726,46.0,165.0
종로구,낙원동,하프레스트 호스텔,2,고위험군,37.56953983,126.9876225,198906.5254,452222.2607,27.46548794,-11.294218839495056,37.44719981026319,1.8170655776351001,46.0,165.0
종로구,관철동,스테이 마루 종로,2,고위험군,37.56669767,126.9847978,198656.9335,451906.8508,41.77586694,5.444143994188238,37.30867052878564,1.5147103911933895,46.0,165.0
종로구,숭인동,루나하우스,2,고위험군,37.57353634,127.0219178,201936.189,452665.9807,35.49600889,-2.771911322234466,37.82576536670038,1.2419638589272324,46.0,165.0
중구,충무로5가,머룸스테이,2,고위험군,37.56119377,127.0008458,200074.73,451295.8743,37.71343046,-4.495350313580978,42.44811264837884,0.5668358776660196,46.0,165.0
중구,신당동,케이그랜드호텔 DDP,2,고위험군,37.56571746,127.0106231,200938.5285,451798.0034,42.58601421,0.18187365114231113,42.968500643258146,-0.3792873051316733,46.0,165.0
중구,명동,무드온 명동,2,고위험군,37.56042879,126.9831765,198513.5724,451211.1032,36.88846481,-2.1580971966409166,38.72952456679952,1.2819083381894611,46.0,165.0
중구,황학동,SINDANG GRAND JOY 호스텔,2,고위험군,37.56332856,127.018601,201643.4107,451532.9731,53.20401401,12.877019132503918,39.98661346622744,-0.47066206459618726,46.0,165.0
중구,충무로3가,MOREN SEOUL MYEONGDONG,2,고위험군,37.55945274,126.9901255,199127.5348,451102.686,38.45181873,-1.3079773208454952,39.098410287958515,1.0027275162727456,46.0,165.0
중구,(인현동,이랑 스테이,2,고위험군,37.5614873,126.9924598,199333.8016,451328.479,37.18727609,-0.7004616197072266,38.708060178392806,0.8644927350340672,46.0,165.0
중구,을지로6가,하이 동대문 호스텔,2,고위험군,37.5646535,127.0066663,200588.9601,451679.8841,47.47456513,4.043292736224174,43.29129917261679,0.13279801845470152,46.0,165.0
중구,명동,하이 서울 호스텔,2,고위험군,37.5583226,126.9816113,198375.2321,450977.367,34.53618313,-6.673040200001296,42.20780069198346,1.4908237515273441,46.0,165.0
중구,충무로2가,올스테이인,2,고위험군,37.55898959,126.9891113,199037.9163,451051.2918,35.16750905,-7.068811898228127,39.9677742925554,1.051561287270493,46.0,165.0
중구,을지로3가,아르보 스테이,2,고위험군,37.56344317,126.9931766,199397.1478,451545.5527,34.04461661,-3.5748416098066116,38.08006500572407,0.7131393683987814,46.0,165.0
중구,(남산동,올리브 호스텔,2,고위험군,37.55561712,126.9843204,198614.5499,450677.0475,45.54906612,-2.143088980696902,44.983701123373265,1.3736685552950376,46.0,165.0
중구,(남산동,보로인 명동,2,고위험군,37.55514884,126.984327,198615.1244,450625.0739,45.03249828,-2.0128846663500894,45.236663484099196,1.3870215689478864,46.0,165.0
중구,명동,호텔 28,2,고위험군,37.56160377,126.9831825,198514.1268,451341.5121,35.59843851,-2.793181862289451,37.85279661616844,1.264993841644283,46.0,165.0
중구,(남산동,오요 5 롯지B (OYO 5 Lodge B),2,고위험군,37.55646209,126.9842423,198607.6709,450770.8303,41.77523918,-3.5221964988453607,44.37257829898604,1.351538985911781,46.0,165.0
용산구,서계동,스테이터울,2,고위험군,37.55142339,126.9655309,196954.1424,450212.0365,42.95662447,0.88989051128641,43.02168556674181,3.2261146119245123,46.0,165.0
용산구,이태원동,H호스텔,2,고위험군,37.52931063,126.9937982,199451.814,447757.2496,44.34334328,3.4670511408398568,40.74932755182241,-0.12578841078209718,46.0,165.0
용산구,한남동,서울미라마(유)그랜드하얏트서울,2,고위험군,37.5367936,126.9970254,199737.097,448587.753,39.17078529,-0.7018556617940703,39.872895870356956,-0.0035263700265721074,46.0,165.0
성동구,성동,스윗스팟성수,2,고위험군,37.54745731,127.052317,204623.2283,449772.5772,40.61094366,-1.6412957486241808,45.37802626087526,-1.303336268221426,46.0,165.0
마포구,동교동,비아르떼 서울,2,고위험군,37.554874,126.9280682,193644.0584,450596.8864,46.83425488,6.289995563637611,41.72220043016408,1.7485805819407232,46.0,165.0
마포구,노고산동,코코스테이,2,고위험군,37.55210431,126.9334754,194121.6196,450289.132,38.7656671,2.527384425138983,37.87594313048997,-0.5144781786418864,46.0,165.0
강서구,화곡동,해담채스테이,2,고위험군,37.52728435,126.8398255,185841.6526,447544.3947,31.96512779,-9.260998722154543,40.898863999604025,3.59526910404278,46.0,165.0
종로구,홍지동,씨케이 인 종로점,2,고위험군,37.5978767,126.958618,196345.5571,455368.0638,46.79405893,1.5619699554627502,47.626410075622815,2.2554595994842748,46.0,165.0
종로구,숭인동,서울 게스트하우스,2,고위험군,37.57188149,127.0156094,201378.9422,452482.2003,50.03752853,9.991460457355473,40.12813615319153,0.5571920938819604,46.0,165.0
종로구,관철동,어 베터 플레이스 (A BETTER PLACE),2,고위험군,37.56691314,126.9855653,198724.7407,451930.7547,42.10691938,5.1460854837843115,37.23860841386019,1.4964388768682275,46.0,165.0
종로구,숭인동,동미,2,고위험군,37.5726296,127.0200052,201767.2557,452565.3054,34.93091504,-2.366541804361745,38.02756516311281,1.0271398403441367,46.0,165.0
종로구,익선동,SAE WHA HOSTEL,2,고위험군,37.57198435,126.9895391,199075.8816,452493.5534,39.77307222,-1.9663334571884192,38.004936823198435,2.3340553443314866,46.0,165.0
종로구,창신동,순안,2,고위험군,37.5681032,127.010761,200950.6822,452062.794,36.75775525,-4.180703371893458,41.87953804093657,-0.5225878450264962,46.0,165.0
종로구,효제동,스타호스텔 동대문 스위트,2,고위험군,37.56891882,127.0021479,200189.7543,452153.266,27.00323146,-10.670119401343019,37.98510677629257,0.6196266263120414,46.0,165.0
종로구,명륜4가,호텔 달스테어(Hotel DALSTAIR),2,고위험군,37.58004227,126.9969759,199732.8774,453387.8425,58.33196648,9.257460155467953,38.91973516078132,2.363262435033441,46.0,165.0
