구,동,숙소명,cluster,cluster_label,위도,경도,x_5181,y_5181,최종위험점수_new,residual,coef_intercept,coef_도로폭위험도,bw_intercept,bw_도로폭위험도
종로구,당주동,SOUNDS INN GWANGHWAMUN,2,고위험군,37.56859605,126.9747495,197769.2539,452117.7398,43.75873477,1.9939887332549162,41.74627980928188,-0.01952834686094972,43.0,125.0
종로구,묘동,킴스텔코리아 종로점,2,고위험군,37.57078678,126.9906847,199177.0643,452360.6264,42.95410306,1.6073273729910298,38.82676922546328,2.794611275734123,43.0,125.0
종로구,창신동,동대문 스테이가든,2,고위험군,37.56946846,127.0134964,201192.3196,452214.3531,43.18296159,2.4811563909776098,42.08580883276163,0.6356870923513557,43.0,125.0
종로구,낙원동,하프레스트 호스텔,2,고위험군,37.56953983,126.9876225,198906.5254,452222.2607,27.46548794,-4.0322910120383675,38.93897648561473,2.5881841468847515,43.0,125.0
종로구,관철동,스테이 마루 종로,2,고위험군,37.56669767,126.9847978,198656.9335,451906.8508,41.77586694,4.418622898796791,38.51341079663979,1.2226658354695559,43.0,125.0
종로구,숭인동,루나하우스,2,고위험군,37.57353634,127.0219178,201936.189,452665.9807,35.49600889,-2.047115889968296,37.522729968894744,0.07132182654390574,43.0,125.0
중구,충무로5가,머룸스테이,2,고위험군,37.56119377,127.0008458,200074.73,451295.8743,37.71343046,-1.494248479825842,42.86977094093721,2.7003920910221697,43.0,125.0
중구,신당동,케이그랜드호텔 DDP,2,고위험군,37.56571746,127.0106231,200938.5285,451798.0034,42.58601421,0.7460107291814779,43.35184303719547,1.5987958186840794,43.0,125.0
중구,명동,무드온 명동,2,고위험군,37.56042879,126.9831765,198513.5724,451211.1032,36.88846481,-0.5573493186157563,37.94021634429183,-0.548277168237419,43.0,125.0
중구,황학동,SINDANG GRAND JOY 호스텔,2,고위험군,37.56332856,127.018601,201643.4107,451532.9731,53.20401401,14.005289992032928,40.09929860702941,2.730434109970294,43.0,125.0
중구,충무로3가,MOREN SEOUL MYEONGDONG,2,고위험군,37.55945274,126.9901255,199127.5348,451102.686,38.45181873,-1.1391953745387227,39.78714845159348,0.5946558095678128,43.0,125.0
중구,(인현동,이랑 스테이,2,고위험군,37.5614873,126.9924598,199333.8016,451328.479,37.18727609,-2.928176877900583,39.48734888722908,2.196516071250717,43.0,125.0
중구,을지로6가,하이 동대문 호스텔,2,고위험군,37.5646535,127.0066663,200588.9601,451679.8841,47.47456513,3.6792285279948445,42.08722978802737,1.8942390169796237,43.0,125.0
중구,명동,하이 서울 호스텔,2,고위험군,37.5583226,126.9816113,198375.2321,450977.367,34.53618313,-6.546232607812421,40.76225473052344,-0.9706897636257427,43.0,125.0
중구,충무로2가,올스테이인,2,고위험군,37.55898959,126.9891113,199037.9163,451051.2918,35.16750905,-4.685771371744636,40.40899157581421,0.25524384409547324,43.0,125.0
중구,을지로3가,아르보 스테이,2,고위험군,37.56344317,126.9931766,199397.1478,451545.5527,34.04461661,1.83675014440405,38.95249564633011,3.0978774971170417,43.0,125.0
중구,(남산동,올리브 호스텔,2,고위험군,37.55561712,126.9843204,198614.5499,450677.0475,45.54906612,0.6911147911746127,45.129530026237404,-0.9497263142074941,43.0,125.0
중구,(남산동,보로인 명동,2,고위험군,37.55514884,126.984327,198615.1244,450625.0739,45.03249828,0.021787926810503677,45.29600076427631,-0.9976769650277789,43.0,125.0
중구,명동,호텔 28,2,고위험군,37.56160377,126.9831825,198514.1268,451341.5121,35.59843851,-2.439067000136049,37.49823578368189,-0.3052489501339299,43.0,125.0
중구,(남산동,오요 5 롯지B (OYO 5 Lodge B),2,고위험군,37.55646209,126.9842423,198607.6709,450770.8303,41.77523918,-3.000795700763966,44.48655239826089,-0.8776761570501728,43.0,125.0
용산구,서계동,스테이터울,2,고위험군,37.55142339,126.9655309,196954.1424,450212.0365,42.95662447,0.6337578126657775,40.591777764393655,1.919725450442896,43.0,125.0
용산구,이태원동,H호스텔,2,고위험군,37.52931063,126.9937982,199451.814,447757.2496,44.34334328,0.42376507780679873,41.8521300005804,2.292737794283073,43.0,125.0
용산구,한남동,서울미라마(유)그랜드하얏트서울,2,고위험군,37.5367936,126.9970254,199737.097,448587.753,39.17078529,-0.1023499040561191,38.62908688124685,2.252273967453079,43.0,125.0
성동구,성동,스윗스팟성수,2,고위험군,37.54745731,127.052317,204623.2283,449772.5772,40.61094366,-1.717660740097486,43.51092742217575,3.584661556847669,43.0,125.0
마포구,동교동,비아르떼 서울,2,고위험군,37.554874,126.9280682,193644.0584,450596.8864,46.83425488,4.9460288929342155,40.870137234573775,3.560314883510294,43.0,125.0
마포구,노고산동,코코스테이,2,고위험군,37.55210431,126.9334754,194121.6196,450289.132,38.7656671,0.09233428136086275,37.741997574678166,3.2569328779005167,43.0,125.0
강서구,화곡동,해담채스테이,2,고위험군,37.52728435,126.8398255,185841.6526,447544.3947,31.96512779,-2.7847072859662525,40.0494399650472,3.9078786452316105,43.0,125.0
종로구,홍지동,씨케이 인 종로점,2,고위험군,37.5978767,126.958618,196345.5571,455368.0638,46.79405893,-0.4028328591511965,47.205988373885916,-0.010087838526702392,43.0,125.0
종로구,숭인동,서울 게스트하우스,2,고위험군,37.57188149,127.0156094,201378.9422,452482.2003,50.03752853,11.276725961490897,39.73956447795804,0.3971372951162347,43.0,125.0
종로구,관철동,어 베터 플레이스 (A BETTER PLACE),2,고위험군,37.56691314,126.9855653,198724.7407,451930.7547,42.10691938,5.0500291714895695,38.49225722752103,1.5179248211832055,43.0,125.0
종로구,숭인동,동미,2,고위험군,37.5726296,127.0200052,201767.2557,452565.3054,34.93091504,-2.8288231987758152,37.71278718503858,0.16419053349526647,43.0,125.0
종로구,익선동,SAE WHA HOSTEL,2,고위험군,37.57198435,126.9895391,199075.8816,452493.5534,39.77307222,-1.6224501996985978,39.259255240380995,2.3690559680707697,43.0,125.0
종로구,창신동,순안,2,고위험군,37.5681032,127.010761,200950.6822,452062.794,36.75775525,-3.4692449359559276,42.774036761362254,1.1698800749230263,43.0,125.0
종로구,효제동,스타호스텔 동대문 스위트,2,고위험군,37.56891882,127.0021479,200189.7543,452153.266,27.00323146,-7.767112370536449,40.28125063758114,2.531216131943753,43.0,125.0
종로구,명륜4가,호텔 달스테어(Hotel DALSTAIR),2,고위험군,37.58004227,126.9969759,199732.8774,453387.8425,58.33196648,21.977788478344998,39.83664626602792,1.4130280443993333,43.0,125.0
종로구,관철동,한평,2,고위험군,37.56696198,126.9842319,198606.9413,451936.1943,34.17025885,-3.361103424045453,38.65867806384017,1.1921554529103466,43.0,125.0
