variable,vif
구조노후도,1.8589631128276136
승인연도,1.8276334171827788
주변건물수,1.614165044408232
집중도,1.5355575948455888
연면적,1.5342206154521374
총층수,1.5161307927934506
최근접_소화용수_거리등급,1.2711097374914877
도로폭위험도,1.2674935714843008
단속위험도,1.0759602571475058
소방위험도_점수,1.0554066128789008
