radius_m,base_rows,valid_coord_rows,fire_rows_2021_2024,matched_count,unmatched_count,matched_rate,mean_fire_count,median_fire_count,max_fire_count,matched_diff_vs_150,fewer_than_150
100,4246,4246,9873,3209,1037,0.7557701365991522,2.5054168629298164,2.0,18,-585,585
150,4246,4246,9873,3794,452,0.8935468676401319,5.633537447008949,5.0,30,0,0
200,4246,4246,9873,4049,197,0.9536033914272256,10.004003768252472,9.0,43,255,-255
