cluster,최종_화재위험점수_count,최종_화재위험점수_mean,최종_화재위험점수_median,최종_화재위험점수_std,소방위험도_점수_count,소방위험도_점수_mean,소방위험도_점수_median,소방위험도_점수_std,주변건물수_count,주변건물수_mean,주변건물수_median,주변건물수_std,집중도_count,집중도_mean,집중도_median,집중도_std,단속위험도_count,단속위험도_mean,단속위험도_median,단속위험도_std,구조노후도_count,구조노후도_mean,구조노후도_median,구조노후도_std,도로폭위험도_count,도로폭위험도_mean,도로폭위험도_median,도로폭위험도_std,최근접_소화용수_거리등급_count,최근접_소화용수_거리등급_mean,최근접_소화용수_거리등급_median,최근접_소화용수_거리등급_std,승인연도_count,승인연도_mean,승인연도_median,승인연도_std,총층수_count,총층수_mean,총층수_median,총층수_std,연면적_count,연면적_mean,연면적_median,연면적_std
0,1458,28.569147511439795,28.31958853175601,7.579100775169539,1458,0.3138738683127572,0.2894,0.15954158599745238,1458,20.358710562414267,17.5,15.22729628255694,1458,70.90089163237312,75.0,24.598616798819265,1458,1.019210749712572,0.8142764132748206,0.814000738600455,1458,0.28194670781893005,0.16865,0.18831688514508332,1458,0.52940329218107,0.55,0.3515747306887775,1458,0.2578875171467764,0.0,0.43762186737048653,1458,1991.7119341563787,1993.0,18.00512800335133,1458,5.301097393689986,4.0,5.514118538454019,1458,5.384350508236811,4.718498871295094,1.8099455970394052
1,1238,30.507668184969898,30.04924802469473,7.82722322024647,1238,0.3248509693053312,0.3074,0.15936344182911705,1238,4.2326332794830375,3.0,5.873566948186884,1238,10.994345718901455,0.0,19.147035214203857,1238,0.5628645575972419,0.13608375472162038,0.8297969822883088,1238,0.28103909531502425,0.1623,0.1971419791050451,1238,0.43530694668820674,0.35,0.3472770081945834,1238,1.7940226171243943,2.0,0.40457745392209665,1238,1992.7148626817448,1994.0,18.250930952139658,1238,5.864297253634895,4.0,7.61137736755804,1238,5.292614671900242,4.53794713771163,1.889011725061819
2,1550,40.23769448378669,39.99428863634677,6.595070828003775,1550,0.33478419354838707,0.30895,0.166898911628769,1550,22.939354838709676,21.0,15.45100545688497,1550,81.24167741935484,85.7,17.835982295731696,1550,0.9910047928232426,0.8037743445148833,0.8260637544880857,1550,0.2843590967741935,0.16865,0.18051928425038724,1550,0.8380903225806451,0.85,0.20214017494281689,1550,1.3425806451612903,1.0,0.47472575578079723,1550,1993.3212903225806,1994.0,15.868772649345429,1550,4.794838709677419,4.0,4.393842066095803,1550,5.024693576057452,4.418840607796598,1.5777887634621972
