cluster,target_gu,target_dong,시설수,평균_최종위험점수,최대_최종위험점수
0,마포구,동교동,67,28.569914657942427,41.033604457224286
0,강서구,화곡동,65,25.428382846546864,38.79593688134991
1,용산구,이태원동,66,29.635302441037453,50.51207525560911
1,성동구,성동,57,36.50763842079898,56.26259693153054
2,마포구,연남동,162,43.55046037344383,56.46578629696045
2,마포구,서교동,128,39.13260095436901,55.30065361313331
